t 280 15 2
n 0.35 0.88 288 149 
n 0.26 0.68 288 129 
n 0.43 0.87 270 133 
n 0.63 0.62 256 141 
n 0.5 0.49 256 157 
n 0.48 0.23 246 157 
n 0.28 0.85 236 169 
n 0.32 0.54 228 169 
n 0.56 0.13 228 161 
n 0.43 0.76 220 169 
n 0.47 0.61 212 169 
n 0.66 0.68 204 169 
n 0.53 0.52 196 169 
n 0.29 0.48 188 169 
n 0.67 0.69 196 161 
n 0.57 0.65 188 145 
n 0.55 0.87 172 145 
n 0.11 0.13 164 145 
n 0.62 0.2 156 145 
n 0.74 0.45 148 145 
n 0.66 0.54 140 145 
n 0.79 0.23 148 169 
n 0.5 0.1 164 169 
n 0.4 0.85 172 169 
n 0.44 0.58 156 169 
n 0.43 0.15 140 169 
n 0.44 0.73 132 169 
n 0.2 0.41 124 169 
n 0.24 0.16 116 161 
n 0.53 0.86 104 153 
n 0.77 0.29 104 161 
n 0.83 0.14 104 169 
n 0.78 0.61 90 165 
n 0.72 0.46 80 157 
n 0.14 0.45 64 157 
n 0.88 0.76 64 165 
n 0.43 0.17 56 169 
n 0.76 0.89 56 161 
n 0.5 0.51 56 153 
n 0.62 0.89 56 145 
n 0.83 0.75 56 137 
n 0.63 0.3 56 129 
n 0.36 0.81 56 121 
n 0.22 0.76 40 121 
n 0.68 0.78 40 129 
n 0.21 0.65 40 137 
n 0.59 0.59 40 145 
n 0.34 0.38 40 153 
n 0.8 0.43 40 161 
n 0.74 0.64 40 169 
n 0.52 0.7 32 169 
n 0.11 0.75 32 161 
n 0.83 0.65 32 153 
n 0.51 0.18 32 145 
n 0.79 0.55 32 137 
n 0.77 0.46 32 129 
n 0.38 0.62 32 121 
n 0.2 0.33 32 113 
n 0.71 0.8 40 113 
n 0.41 0.17 56 113 
n 0.6 0.42 56 105 
n 0.11 0.54 48 99 
n 0.56 0.17 40 99 
n 0.53 0.48 32 97 
n 0.75 0.21 32 89 
n 0.6 0.79 24 89 
n 0.81 0.51 16 97 
n 0.75 0.32 16 109 
n 0.27 0.5 8 109 
n 0.33 0.24 8 97 
n 0.87 0.35 8 89 
n 0.53 0.35 8 81 
n 0.32 0.61 8 73 
n 0.38 0.44 8 65 
n 0.29 0.7 8 57 
n 0.2 0.62 16 57 
n 0.26 0.4 8 49 
n 0.83 0.29 8 41 
n 0.56 0.49 24 45 
n 0.52 0.51 32 41 
n 0.21 0.86 32 49 
n 0.28 0.69 32 57 
n 0.63 0.79 32 65 
n 0.45 0.57 32 73 
n 0.56 0.37 32 81 
n 0.48 0.18 40 83 
n 0.76 0.23 40 73 
n 0.24 0.19 40 63 
n 0.39 0.57 40 51 
n 0.32 0.22 44 43 
n 0.46 0.45 44 35 
n 0.6 0.17 44 27 
n 0.47 0.42 32 25 
n 0.3 0.4 24 25 
n 0.75 0.59 16 25 
n 0.47 0.31 16 17 
n 0.3 0.59 24 17 
n 0.64 0.42 32 17 
n 0.76 0.74 44 11 
n 0.36 0.36 56 9 
n 0.54 0.34 56 17 
n 0.8 0.85 56 25 
n 0.7 0.17 56 33 
n 0.45 0.27 56 41 
n 0.72 0.52 64 41 
n 0.59 0.63 72 41 
n 0.49 0.71 72 49 
n 0.88 0.64 56 49 
n 0.75 0.14 48 51 
n 0.28 0.28 56 57 
n 0.8 0.7 56 65 
n 0.24 0.37 48 63 
n 0.76 0.42 48 73 
n 0.32 0.27 56 73 
n 0.6 0.6 56 81 
n 0.12 0.58 48 83 
n 0.57 0.29 56 89 
n 0.58 0.87 56 97 
n 0.22 0.88 104 97 
n 0.32 0.8 104 105 
n 0.19 0.22 104 113 
n 0.49 0.65 104 121 
n 0.17 0.56 104 129 
n 0.24 0.8 104 137 
n 0.53 0.37 104 145 
n 0.41 0.4 116 145 
n 0.7 0.21 124 145 
n 0.82 0.31 132 145 
n 0.4 0.21 132 137 
n 0.73 0.31 140 137 
n 0.63 0.62 148 137 
n 0.77 0.14 156 137 
n 0.26 0.49 164 137 
n 0.6 0.59 172 125 
n 0.76 0.53 172 117 
n 0.74 0.74 172 109 
n 0.74 0.69 172 101 
n 0.64 0.53 172 93 
n 0.17 0.75 172 85 
n 0.55 0.66 180 85 
n 0.28 0.56 180 77 
n 0.12 0.79 180 69 
n 0.69 0.16 180 61 
n 0.42 0.38 180 53 
n 0.47 0.89 172 53 
n 0.28 0.53 172 61 
n 0.42 0.44 172 69 
n 0.74 0.74 172 77 
n 0.83 0.56 164 81 
n 0.52 0.58 148 85 
n 0.19 0.55 124 85 
n 0.76 0.19 124 93 
n 0.75 0.72 124 109 
n 0.13 0.82 124 125 
n 0.13 0.39 124 117 
n 0.83 0.3 124 101 
n 0.13 0.12 104 89 
n 0.66 0.16 104 81 
n 0.12 0.23 104 73 
n 0.51 0.19 104 65 
n 0.24 0.89 104 49 
n 0.27 0.77 104 41 
n 0.45 0.72 104 33 
n 0.12 0.2 104 25 
n 0.62 0.41 104 17 
n 0.39 0.82 92 9 
n 0.83 0.74 80 9 
n 0.61 0.52 72 9 
n 0.21 0.5 64 21 
n 0.69 0.43 72 25 
n 0.16 0.24 80 25 
n 0.72 0.44 80 25 
n 0.79 0.25 80 41 
n 0.71 0.73 88 49 
n 0.21 0.21 104 57 
n 0.32 0.37 124 69 
n 0.56 0.75 124 77 
n 0.15 0.28 132 81 
n 0.31 0.31 140 65 
n 0.87 0.19 132 61 
n 0.65 0.55 124 61 
n 0.17 0.72 124 53 
n 0.66 0.41 124 45 
n 0.62 0.6 124 37 
n 0.49 0.33 124 29 
n 0.57 0.37 132 21 
n 0.22 0.11 124 21 
n 0.88 0.86 120 9 
n 0.67 0.34 128 9 
n 0.68 0.78 136 9 
n 0.86 0.29 148 9 
n 0.27 0.82 162 9 
n 0.22 0.35 156 25 
n 0.79 0.38 172 21 
n 0.85 0.31 180 21 
n 0.84 0.24 180 29 
n 0.64 0.4 172 29 
n 0.66 0.27 172 37 
n 0.67 0.18 172 45 
n 0.71 0.7 180 45 
n 0.43 0.15 180 37 
n 0.25 0.8 188 41 
n 0.74 0.54 196 49 
n 0.81 0.82 204 57 
n 0.22 0.84 212 65 
n 0.71 0.8 220 73 
n 0.36 0.56 228 69 
n 0.34 0.41 228 77 
n 0.35 0.34 236 77 
n 0.75 0.48 236 69 
n 0.74 0.43 236 61 
n 0.67 0.29 228 61 
n 0.58 0.26 228 53 
n 0.21 0.67 236 53 
n 0.18 0.56 236 45 
n 0.2 0.42 228 45 
n 0.19 0.65 228 37 
n 0.53 0.44 236 37 
n 0.29 0.41 236 29 
n 0.68 0.39 228 29 
n 0.55 0.58 228 21 
n 0.36 0.88 236 21 
n 0.34 0.76 252 21 
n 0.14 0.72 260 29 
n 0.11 0.39 260 37 
n 0.53 0.74 260 45 
n 0.82 0.37 260 53 
n 0.24 0.34 260 61 
n 0.42 0.85 260 69 
n 0.68 0.2 260 77 
n 0.28 0.38 276 77 
n 0.75 0.81 276 69 
n 0.26 0.61 276 61 
n 0.45 0.23 276 53 
n 0.68 0.21 284 53 
n 0.64 0.44 284 61 
n 0.59 0.25 284 69 
n 0.37 0.43 284 77 
n 0.46 0.34 284 85 
n 0.4 0.41 284 93 
n 0.14 0.41 284 101 
n 0.66 0.37 288 109 
n 0.29 0.48 280 109 
n 0.28 0.87 276 101 
n 0.34 0.5 276 93 
n 0.13 0.19 276 85 
n 0.81 0.43 268 97 
n 0.64 0.17 260 109 
n 0.77 0.4 252 101 
n 0.49 0.22 260 93 
n 0.39 0.71 260 85 
n 0.17 0.6 236 85 
n 0.17 0.75 228 85 
n 0.23 0.63 228 93 
n 0.31 0.83 236 93 
n 0.76 0.24 236 101 
n 0.26 0.89 228 101 
n 0.82 0.66 228 109 
n 0.26 0.25 228 117 
n 0.59 0.55 228 125 
n 0.24 0.66 220 125 
n 0.26 0.47 212 117 
n 0.55 0.43 204 109 
n 0.33 0.56 196 101 
n 0.67 0.56 188 93 
n 0.29 0.33 180 93 
n 0.29 0.18 180 101 
n 0.44 0.26 180 109 
n 0.56 0.36 180 117 
