t 127 15 2
n 0.84 0.3 9860 14152 
n 0.16 0.21 9396 14616 
n 0.5 0.52 11252 14848 
n 0.1 0.46 11020 13456 
n 0.85 0.74 9512 15776 
n 0.7 0.74 10788 13804 
n 0.53 0.71 10208 14384 
n 0.76 0.64 11600 13456 
n 0.4 0.58 11252 14036 
n 0.61 0.53 10672 15080 
n 0.43 0.61 11136 14152 
n 0.65 0.7 9860 13108 
n 0.88 0.72 10092 14964 
n 0.63 0.61 9512 13340 
n 0.41 0.5 10556 13688 
n 0.32 0.26 9628 14036 
n 0.14 0.39 10904 13108 
n 0.12 0.73 11368 12644 
n 0.78 0.35 11252 13340 
n 0.89 0.18 10672 13340 
n 0.62 0.39 11020 13108 
n 0.14 0.28 11020 13340 
n 0.65 0.75 11136 13572 
n 0.34 0.72 11020 13688 
n 0.4 0.56 8468 11136 
n 0.64 0.82 8932 12064 
n 0.56 0.18 9512 12412 
n 0.44 0.59 7772 11020 
n 0.27 0.13 8352 10672 
n 0.37 0.28 9164 12876 
n 0.33 0.38 9744 12528 
n 0.86 0.36 8352 10324 
n 0.67 0.23 8236 11020 
n 0.17 0.18 8468 12876 
n 0.15 0.31 8700 14036 
n 0.59 0.42 8932 13688 
n 0.71 0.85 9048 13804 
n 0.22 0.55 8468 12296 
n 0.5 0.21 8352 12644 
n 0.52 0.53 8236 13572 
n 0.39 0.55 9164 13340 
n 0.12 0.11 8004 12760 
n 0.83 0.26 8584 13108 
n 0.85 0.43 7772 14732 
n 0.26 0.87 7540 15080 
n 0.64 0.18 7424 17516 
n 0.71 0.14 8352 17052 
n 0.51 0.17 7540 16820 
n 0.54 0.35 7888 17168 
n 0.63 0.47 9744 15196 
n 0.82 0.2 9164 14964 
n 0.36 0.13 9744 16240 
n 0.84 0.18 7888 16936 
n 0.24 0.43 8236 15428 
n 0.88 0.82 9512 17400 
n 0.31 0.22 9164 16008 
n 0.7 0.43 8700 15312 
n 0.49 0.38 11716 16008 
n 0.88 0.47 12992 14964 
n 0.4 0.69 12412 14964 
n 0.55 0.55 12296 15312 
n 0.32 0.6 12528 15196 
n 0.59 0.63 15312 6612 
n 0.14 0.53 11716 16124 
n 0.73 0.42 11600 19720 
n 0.54 0.39 10324 17516 
n 0.75 0.31 12412 13340 
n 0.83 0.64 12876 12180 
n 0.74 0.19 13688 10904 
n 0.76 0.39 13688 11716 
n 0.41 0.57 13688 12528 
n 0.39 0.4 11484 13224 
n 0.27 0.72 12296 12760 
n 0.39 0.19 12064 12528 
n 0.25 0.45 12644 10556 
n 0.13 0.7 11832 11252 
n 0.89 0.68 11368 12296 
n 0.44 0.28 11136 11020 
n 0.46 0.73 10556 11948 
n 0.67 0.51 10324 11716 
n 0.51 0.8 11484 9512 
n 0.65 0.74 11484 7540 
n 0.31 0.7 11020 7424 
n 0.28 0.65 11484 9744 
n 0.51 0.84 16936 12180 
n 0.48 0.88 17052 12064 
n 0.22 0.63 16936 11832 
n 0.49 0.87 17052 11600 
n 0.72 0.65 13804 18792 
n 0.25 0.87 12064 14964 
n 0.17 0.18 12180 15544 
n 0.41 0.28 14152 18908 
n 0.79 0.55 5104 14616 
n 0.79 0.69 6496 17168 
n 0.39 0.14 5684 13224 
n 0.86 0.49 15660 10788 
n 0.52 0.52 5336 10324 
n 0.63 0.49 812 6264 
n 0.79 0.37 14384 20184 
n 0.86 0.77 11252 15776 
n 0.44 0.44 9744 3132 
n 0.5 0.88 10904 3480 
n 0.68 0.84 7308 14848 
n 0.15 0.45 16472 16472 
n 0.66 0.13 10440 14036 
n 0.49 0.28 10672 13804 
n 0.65 0.9 1160 18560 
n 0.51 0.55 10788 13572 
n 0.51 0.32 15660 11368 
n 0.51 0.89 15544 12760 
n 0.26 0.65 5336 18908 
n 0.81 0.85 6264 19140 
n 0.59 0.28 11832 17516 
n 0.45 0.66 10672 14152 
n 0.3 0.34 10208 15196 
n 0.6 0.85 12180 14848 
n 0.45 0.3 11020 10208 
n 0.14 0.63 7656 17052 
n 0.36 0.13 16240 8352 
n 0.64 0.41 10440 14732 
n 0.78 0.58 9164 15544 
n 0.61 0.76 8004 11020 
n 0.44 0.21 5684 11948 
n 0.66 0.34 9512 16472 
n 0.49 0.77 13688 17516 
n 0.65 0.15 11484 8468 
n 0.8 0.6 3248 14152 
