t 150 5 2
n 0.84 0.3 37 541 
n 0.16 0.21 612 494 
n 0.5 0.52 38 353 
n 0.1 0.46 53 131 
n 0.85 0.74 143 632 
n 0.7 0.74 690 469 
n 0.53 0.71 113 529 
n 0.76 0.64 141 505 
n 0.4 0.58 661 446 
n 0.61 0.53 99 385 
n 0.43 0.61 697 180 
n 0.65 0.7 536 287 
n 0.88 0.72 192 20 
n 0.63 0.61 283 230 
n 0.41 0.5 241 282 
n 0.32 0.26 247 322 
n 0.14 0.39 650 62 
n 0.12 0.73 353 667 
n 0.78 0.35 633 535 
n 0.89 0.18 488 437 
n 0.62 0.39 141 228 
n 0.14 0.28 17 240 
n 0.65 0.75 398 231 
n 0.34 0.72 566 282 
n 0.4 0.56 476 469 
n 0.64 0.82 322 550 
n 0.56 0.18 398 75 
n 0.44 0.59 673 433 
n 0.27 0.13 571 530 
n 0.37 0.28 105 483 
n 0.33 0.38 357 68 
n 0.86 0.36 400 254 
n 0.67 0.23 282 427 
n 0.17 0.18 59 507 
n 0.15 0.31 190 460 
n 0.59 0.42 660 227 
n 0.71 0.85 639 467 
n 0.22 0.55 415 233 
n 0.5 0.21 547 162 
n 0.52 0.53 617 339 
n 0.39 0.55 495 148 
n 0.12 0.11 630 433 
n 0.83 0.26 471 314 
n 0.85 0.43 138 137 
n 0.26 0.87 92 110 
n 0.64 0.18 391 424 
n 0.71 0.14 565 429 
n 0.51 0.17 55 439 
n 0.54 0.35 334 154 
n 0.63 0.47 531 612 
n 0.82 0.2 476 386 
n 0.36 0.13 229 410 
n 0.84 0.18 578 321 
n 0.24 0.43 359 404 
n 0.88 0.82 486 593 
n 0.31 0.22 343 509 
n 0.7 0.43 530 138 
n 0.49 0.38 499 576 
n 0.88 0.47 224 312 
n 0.4 0.69 596 82 
n 0.55 0.55 662 217 
n 0.32 0.6 44 305 
n 0.59 0.63 79 446 
n 0.14 0.53 210 131 
n 0.73 0.42 432 629 
n 0.54 0.39 623 69 
n 0.75 0.31 437 283 
n 0.83 0.64 59 40 
n 0.74 0.19 631 230 
n 0.76 0.39 579 601 
n 0.41 0.57 118 113 
n 0.39 0.4 298 166 
n 0.27 0.72 23 456 
n 0.39 0.19 260 11 
n 0.25 0.45 342 599 
n 0.13 0.7 10 489 
n 0.89 0.68 315 273 
n 0.44 0.28 221 270 
n 0.46 0.73 192 314 
n 0.67 0.51 272 225 
n 0.51 0.8 531 504 
n 0.65 0.74 43 656 
n 0.31 0.7 396 539 
n 0.28 0.65 119 509 
n 0.51 0.84 396 700 
n 0.48 0.88 559 561 
n 0.22 0.63 23 526 
n 0.49 0.87 136 326 
n 0.72 0.65 141 485 
n 0.25 0.87 397 461 
n 0.17 0.18 88 20 
n 0.41 0.28 350 421 
n 0.79 0.55 217 466 
n 0.79 0.69 131 351 
n 0.39 0.14 73 646 
n 0.86 0.49 145 457 
n 0.52 0.52 212 595 
n 0.63 0.49 50 541 
n 0.79 0.37 657 558 
n 0.86 0.77 177 649 
n 0.44 0.44 500 199 
n 0.5 0.88 634 613 
n 0.68 0.84 60 552 
n 0.15 0.45 15 143 
n 0.66 0.13 283 376 
n 0.49 0.28 147 39 
n 0.65 0.9 102 635 
n 0.51 0.55 588 581 
n 0.51 0.32 457 350 
n 0.51 0.89 537 473 
n 0.26 0.65 269 367 
n 0.81 0.85 240 103 
n 0.59 0.28 88 384 
n 0.45 0.66 659 584 
n 0.3 0.34 98 157 
n 0.6 0.85 507 233 
n 0.45 0.3 500 65 
n 0.14 0.63 594 276 
n 0.36 0.13 66 24 
n 0.64 0.41 598 415 
n 0.78 0.58 172 344 
n 0.61 0.76 299 252 
n 0.44 0.21 304 21 
n 0.66 0.34 198 512 
n 0.49 0.77 56 243 
n 0.65 0.15 256 449 
n 0.8 0.6 608 223 
n 0.1 0.28 70 78 
n 0.11 0.52 398 120 
n 0.46 0.56 635 133 
n 0.44 0.62 378 272 
n 0.43 0.22 485 677 
n 0.84 0.82 279 300 
n 0.25 0.48 382 360 
n 0.79 0.46 558 595 
n 0.77 0.83 249 77 
n 0.75 0.16 563 670 
n 0.67 0.58 399 393 
n 0.88 0.41 591 371 
n 0.57 0.17 558 0 
n 0.74 0.17 461 531 
n 0.6 0.31 355 685 
n 0.51 0.14 194 670 
n 0.27 0.52 352 140 
n 0.37 0.73 308 115 
n 0.17 0.57 300 531 
n 0.8 0.82 334 152 
n 0.84 0.15 691 135 
n 0.39 0.18 48 271 
n 0.54 0.36 92 166 
