t 198 5 2
n 0.84 0.3 0 0 
n 0.16 0.21 551 996 
n 0.5 0.52 627 996 
n 0.1 0.46 704 996 
n 0.85 0.74 704 1047 
n 0.7 0.74 627 1047 
n 0.53 0.71 551 1047 
n 0.76 0.64 881 1352 
n 0.4 0.58 932 1352 
n 0.61 0.53 958 1352 
n 0.43 0.61 983 1352 
n 0.65 0.7 1008 1352 
n 0.88 0.72 1034 1352 
n 0.63 0.61 1313 1123 
n 0.41 0.5 1288 1098 
n 0.32 0.26 1288 996 
n 0.14 0.39 1313 996 
n 0.12 0.73 1466 996 
n 0.78 0.35 1516 996 
n 0.89 0.18 1593 996 
n 0.62 0.39 1593 1098 
n 0.14 0.28 1516 1098 
n 0.65 0.75 1466 1098 
n 0.34 0.72 1567 1123 
n 0.4 0.56 1593 1149 
n 0.64 0.82 1567 1174 
n 0.56 0.18 1542 1174 
n 0.44 0.59 1491 1174 
n 0.27 0.13 1440 1174 
n 0.37 0.28 1466 1200 
n 0.33 0.38 1415 1225 
n 0.86 0.36 1440 1225 
n 0.67 0.23 1491 1225 
n 0.17 0.18 1516 1225 
n 0.15 0.31 1593 1250 
n 0.59 0.42 1466 1250 
n 0.71 0.85 1440 1250 
n 0.22 0.55 1389 1250 
n 0.5 0.21 1542 1276 
n 0.52 0.53 1161 1123 
n 0.39 0.55 1161 1225 
n 0.12 0.11 1262 1301 
n 0.83 0.26 1288 1301 
n 0.85 0.43 1339 1301 
n 0.26 0.87 1415 1301 
n 0.64 0.18 1491 1301 
n 0.71 0.14 1542 1301 
n 0.51 0.17 1643 1301 
n 0.54 0.35 1669 1327 
n 0.63 0.47 1618 1327 
n 0.82 0.2 1567 1327 
n 0.36 0.13 1516 1327 
n 0.84 0.18 1466 1327 
n 0.24 0.43 1415 1327 
n 0.88 0.82 1339 1327 
n 0.31 0.22 1313 1327 
n 0.7 0.43 1237 1327 
n 0.49 0.38 1237 1352 
n 0.88 0.47 1313 1352 
n 0.4 0.69 1339 1352 
n 0.55 0.55 1415 1352 
n 0.32 0.6 1466 1352 
n 0.59 0.63 1694 1352 
n 0.14 0.53 1618 1377 
n 0.73 0.42 1516 1377 
n 0.54 0.39 1415 1377 
n 0.75 0.31 1339 1377 
n 0.83 0.64 1313 1377 
n 0.74 0.19 1237 1377 
n 0.76 0.39 1358 1390 
n 0.41 0.57 1237 1403 
n 0.39 0.4 1313 1403 
n 0.27 0.72 1339 1403 
n 0.39 0.19 1415 1403 
n 0.25 0.45 1466 1403 
n 0.13 0.7 1567 1403 
n 0.89 0.68 1593 1403 
n 0.44 0.28 1618 1403 
n 0.46 0.73 1694 1428 
n 0.67 0.51 1669 1428 
n 0.51 0.8 1542 1428 
n 0.65 0.74 1440 1428 
n 0.31 0.7 1415 1428 
n 0.28 0.65 1339 1428 
n 0.51 0.84 1262 1428 
n 0.48 0.88 1237 1454 
n 0.22 0.63 1339 1454 
n 0.49 0.87 1415 1454 
n 0.72 0.65 1466 1454 
n 0.25 0.87 1491 1454 
n 0.17 0.18 1669 1454 
n 0.41 0.28 1694 1454 
n 0.79 0.55 1618 1479 
n 0.79 0.69 1593 1479 
n 0.39 0.14 1567 1479 
n 0.86 0.49 1516 1479 
n 0.52 0.52 1440 1479 
n 0.63 0.49 1415 1479 
n 0.79 0.37 1339 1479 
n 0.86 0.77 1262 1479 
n 0.44 0.44 1593 1504 
n 0.5 0.88 1618 1504 
n 0.68 0.84 1669 1530 
n 0.15 0.45 1694 1530 
n 0.66 0.13 1745 1530 
n 0.49 0.28 1821 1530 
n 0.65 0.9 1847 1530 
n 0.51 0.55 1948 1530 
n 0.51 0.32 1923 1555 
n 0.51 0.89 1897 1555 
n 0.26 0.65 1872 1555 
n 0.81 0.85 1821 1555 
n 0.59 0.28 1796 1555 
n 0.45 0.66 1770 1555 
n 0.3 0.34 1770 1657 
n 0.6 0.85 1796 1657 
n 0.45 0.3 1821 1657 
n 0.14 0.63 1872 1657 
n 0.36 0.13 1897 1657 
n 0.64 0.41 1923 1657 
n 0.78 0.58 1808 1695 
n 0.61 0.76 1758 1695 
n 0.44 0.21 1885 1733 
n 0.66 0.34 1999 1733 
n 0.49 0.77 2075 1733 
n 0.65 0.15 2113 1733 
n 0.8 0.6 2177 1733 
n 0.1 0.28 2236 1733 
