t 101 15 2
n 0.84 0.3 41 49 
n 0.16 0.21 35 17 
n 0.5 0.52 55 45 
n 0.1 0.46 55 20 
n 0.85 0.74 15 30 
n 0.7 0.74 25 30 
n 0.53 0.71 20 50 
n 0.76 0.64 10 43 
n 0.4 0.58 55 60 
n 0.61 0.53 30 60 
n 0.43 0.61 20 65 
n 0.65 0.7 50 35 
n 0.88 0.72 30 25 
n 0.63 0.61 15 10 
n 0.41 0.5 30 5 
n 0.32 0.26 10 20 
n 0.14 0.39 5 30 
n 0.12 0.73 20 40 
n 0.78 0.35 15 60 
n 0.89 0.18 45 65 
n 0.62 0.39 45 20 
n 0.14 0.28 45 10 
n 0.65 0.75 55 5 
n 0.34 0.72 65 35 
n 0.4 0.56 65 20 
n 0.64 0.82 45 30 
n 0.56 0.18 35 40 
n 0.44 0.59 41 37 
n 0.27 0.13 64 42 
n 0.37 0.28 40 60 
n 0.33 0.38 31 52 
n 0.86 0.36 35 69 
n 0.67 0.23 53 52 
n 0.17 0.18 65 55 
n 0.15 0.31 63 65 
n 0.59 0.42 2 60 
n 0.71 0.85 20 20 
n 0.22 0.55 5 5 
n 0.5 0.21 60 12 
n 0.52 0.53 40 25 
n 0.39 0.55 42 7 
n 0.12 0.11 24 12 
n 0.83 0.26 23 3 
n 0.85 0.43 11 14 
n 0.26 0.87 6 38 
n 0.64 0.18 2 48 
n 0.71 0.14 8 56 
n 0.51 0.17 13 52 
n 0.54 0.35 6 68 
n 0.63 0.47 47 47 
n 0.82 0.2 49 58 
n 0.36 0.13 27 43 
n 0.84 0.18 37 31 
n 0.24 0.43 57 29 
n 0.88 0.82 63 23 
n 0.31 0.22 53 12 
n 0.7 0.43 32 12 
n 0.49 0.38 36 26 
n 0.88 0.47 21 24 
n 0.4 0.69 17 34 
n 0.55 0.55 12 24 
n 0.32 0.6 24 58 
n 0.59 0.63 27 69 
n 0.14 0.53 15 77 
n 0.73 0.42 62 77 
n 0.54 0.39 49 73 
n 0.75 0.31 67 5 
n 0.83 0.64 56 39 
n 0.74 0.19 37 47 
n 0.76 0.39 37 56 
n 0.41 0.57 57 68 
n 0.39 0.4 47 16 
n 0.27 0.72 44 17 
n 0.39 0.19 46 13 
n 0.25 0.45 49 11 
n 0.13 0.7 49 42 
n 0.89 0.68 53 43 
n 0.44 0.28 61 52 
n 0.46 0.73 57 48 
n 0.67 0.51 56 37 
n 0.51 0.8 55 54 
n 0.65 0.74 15 47 
n 0.31 0.7 14 37 
n 0.28 0.65 11 31 
n 0.51 0.84 16 22 
n 0.48 0.88 4 18 
n 0.22 0.63 28 18 
n 0.49 0.87 26 52 
n 0.72 0.65 26 35 
n 0.25 0.87 31 67 
n 0.17 0.18 15 19 
n 0.41 0.28 22 22 
n 0.79 0.55 18 24 
n 0.79 0.69 26 27 
n 0.39 0.14 25 24 
n 0.86 0.49 22 27 
n 0.52 0.52 25 21 
n 0.63 0.49 19 21 
n 0.79 0.37 20 26 
n 0.86 0.77 18 18 
n 0.44 0.44 35 35 
