t 417 5 2
n 0.84 0.3 1026 1971 
n 0.16 0.21 1162 1965 
n 0.5 0.52 1191 1959 
n 0.1 0.46 1168 1959 
n 0.85 0.74 1097 1959 
n 0.7 0.74 1103 1954 
n 0.53 0.71 1091 1954 
n 0.76 0.64 1020 1954 
n 0.4 0.58 1233 1942 
n 0.61 0.53 1043 1942 
n 0.43 0.61 1239 1936 
n 0.65 0.7 1168 1936 
n 0.88 0.72 1132 1936 
n 0.63 0.61 1268 1930 
n 0.41 0.5 1244 1930 
n 0.32 0.26 1067 1930 
n 0.14 0.39 1179 1924 
n 0.12 0.73 1049 1924 
n 0.78 0.35 1038 1924 
n 0.89 0.18 1126 1918 
n 0.62 0.39 1091 1918 
n 0.14 0.28 984 1918 
n 0.65 0.75 1327 1906 
n 0.34 0.72 1032 1906 
n 0.4 0.56 996 1906 
n 0.64 0.82 1049 1900 
n 0.56 0.18 1185 1895 
n 0.44 0.59 1114 1895 
n 0.27 0.13 1315 1883 
n 0.37 0.28 1292 1883 
n 0.33 0.38 1079 1883 
n 0.86 0.36 1014 1877 
n 0.67 0.23 1735 1747 
n 0.17 0.18 742 1747 
n 0.15 0.31 1729 1741 
n 0.59 0.42 736 1741 
n 0.71 0.85 1522 1723 
n 0.22 0.55 529 1723 
n 0.5 0.21 1185 1647 
n 0.52 0.53 1570 1523 
n 0.39 0.55 576 1523 
n 0.12 0.11 1150 1446 
n 0.83 0.26 618 1446 
n 0.85 0.43 1032 1422 
n 0.26 0.87 1108 1416 
n 0.64 0.18 754 1416 
n 0.71 0.14 1032 1410 
n 0.51 0.17 594 1410 
n 0.54 0.35 760 1399 
n 0.63 0.47 606 1399 
n 0.82 0.2 754 1274 
n 0.36 0.13 659 1251 
n 0.84 0.18 1268 1245 
n 0.24 0.43 594 1245 
n 0.88 0.82 612 1227 
n 0.31 0.22 1280 1221 
n 0.7 0.43 659 1156 
n 0.49 0.38 1227 1003 
n 0.88 0.47 1150 997 
n 0.4 0.69 1611 973 
n 0.55 0.55 1038 802 
n 0.32 0.6 1315 796 
n 0.59 0.63 1114 796 
n 0.14 0.53 1091 796 
n 0.73 0.42 1274 790 
n 0.54 0.39 1132 790 
n 0.75 0.31 1108 790 
n 0.83 0.64 1014 790 
n 0.74 0.19 1268 784 
n 0.76 0.39 1114 784 
n 0.41 0.57 1032 784 
