t 262 10 2
n 0.84 0.3 -99 -97 
n 0.16 0.21 -59 50 
n 0.5 0.52 0 14 
n 0.1 0.46 -17 -66 
n 0.85 0.74 -69 -19 
n 0.7 0.74 31 12 
n 0.53 0.71 5 -41 
n 0.76 0.64 -12 10 
n 0.4 0.58 -64 70 
n 0.61 0.53 -12 85 
n 0.43 0.61 -18 64 
n 0.65 0.7 -77 -16 
n 0.88 0.72 -53 88 
n 0.63 0.61 83 -24 
n 0.41 0.5 24 41 
n 0.32 0.26 17 21 
n 0.14 0.39 42 96 
n 0.12 0.73 -65 0 
n 0.78 0.35 -47 -26 
n 0.89 0.18 85 36 
n 0.62 0.39 -35 -54 
n 0.14 0.28 54 -21 
n 0.65 0.75 64 -17 
n 0.34 0.72 55 89 
n 0.4 0.56 17 -25 
n 0.64 0.82 -61 66 
n 0.56 0.18 -61 26 
n 0.44 0.59 17 -72 
n 0.27 0.13 79 38 
n 0.37 0.28 -62 -2 
n 0.33 0.38 -90 -68 
n 0.86 0.36 52 66 
n 0.67 0.23 -54 -50 
n 0.17 0.18 8 -84 
n 0.15 0.31 37 -90 
n 0.59 0.42 -83 49 
n 0.71 0.85 35 -1 
n 0.22 0.55 7 59 
n 0.5 0.21 12 48 
n 0.52 0.53 57 95 
n 0.39 0.55 92 28 
n 0.12 0.11 -3 97 
n 0.83 0.26 -7 52 
n 0.85 0.43 42 -15 
n 0.26 0.87 77 -43 
n 0.64 0.18 59 -49 
n 0.71 0.14 25 91 
n 0.51 0.17 69 -19 
n 0.54 0.35 -82 -14 
n 0.63 0.47 74 -70 
n 0.82 0.2 69 59 
n 0.36 0.13 29 33 
n 0.84 0.18 -97 9 
n 0.24 0.43 -58 9 
n 0.88 0.82 28 93 
n 0.31 0.22 7 73 
n 0.7 0.43 -28 73 
n 0.49 0.38 -76 55 
n 0.88 0.47 41 42 
n 0.4 0.69 92 40 
n 0.55 0.55 -84 -29 
n 0.32 0.6 -12 42 
n 0.59 0.63 51 -45 
n 0.14 0.53 -37 46 
n 0.73 0.42 -97 35 
n 0.54 0.39 14 89 
n 0.75 0.31 60 58 
n 0.83 0.64 -63 -75 
n 0.74 0.19 -18 34 
n 0.76 0.39 -46 -82 
n 0.41 0.57 -86 -79 
n 0.39 0.4 -43 -30 
n 0.27 0.72 -44 7 
n 0.39 0.19 -3 -20 
n 0.25 0.45 36 41 
n 0.13 0.7 -30 -94 
n 0.89 0.68 79 -62 
n 0.44 0.28 51 70 
n 0.46 0.73 -61 -26 
n 0.67 0.51 6 94 
n 0.51 0.8 -19 -62 
n 0.65 0.74 -20 51 
n 0.31 0.7 -81 37 
n 0.28 0.65 7 31 
n 0.51 0.84 52 12 
n 0.48 0.88 83 -91 
n 0.22 0.63 -7 -92 
n 0.49 0.87 82 -74 
n 0.72 0.65 -70 85 
n 0.25 0.87 -83 -30 
n 0.17 0.18 71 -61 
n 0.41 0.28 85 11 
n 0.79 0.55 66 -48 
n 0.79 0.69 78 -87 
n 0.39 0.14 9 -79 
n 0.86 0.49 -36 4 
n 0.52 0.52 66 39 
n 0.63 0.49 92 -17 
n 0.79 0.37 -46 -79 
n 0.86 0.77 -30 -63 
n 0.44 0.44 -42 63 
n 0.5 0.88 20 42 
n 0.68 0.84 15 98 
n 0.15 0.45 1 -17 
n 0.66 0.13 64 20 
n 0.49 0.28 -96 85 
n 0.65 0.9 93 -29 
n 0.51 0.55 -40 -84 
n 0.51 0.32 86 35 
n 0.51 0.89 91 36 
n 0.26 0.65 62 -8 
n 0.81 0.85 -24 4 
n 0.59 0.28 11 96 
n 0.45 0.66 -53 62 
n 0.3 0.34 -28 -71 
n 0.6 0.85 7 -4 
n 0.45 0.3 95 -9 
n 0.14 0.63 -3 17 
n 0.36 0.13 53 -90 
n 0.64 0.41 58 -19 
n 0.78 0.58 -83 84 
n 0.61 0.76 -1 49 
n 0.44 0.21 -4 17 
n 0.66 0.34 -82 -3 
n 0.49 0.77 -43 47 
n 0.65 0.15 6 -6 
n 0.8 0.6 70 99 
n 0.1 0.28 68 -29 
n 0.11 0.52 -94 -30 
n 0.46 0.56 -94 -20 
n 0.44 0.62 -21 77 
n 0.43 0.22 64 37 
n 0.84 0.82 -70 -19 
n 0.25 0.48 88 65 
n 0.79 0.46 2 29 
n 0.77 0.83 33 57 
n 0.75 0.16 -70 6 
n 0.67 0.58 -38 -56 
n 0.88 0.41 -80 -95 
n 0.57 0.17 -5 -39 
n 0.74 0.17 8 -22 
n 0.6 0.31 -61 -76 
n 0.51 0.14 76 -22 
n 0.27 0.52 49 -71 
n 0.37 0.73 -30 -68 
n 0.17 0.57 1 34 
n 0.8 0.82 77 79 
n 0.84 0.15 -58 64 
n 0.39 0.18 82 -97 
n 0.54 0.36 -80 55 
n 0.46 0.6 81 -86 
n 0.2 0.62 39 -49 
n 0.25 0.38 -67 72 
n 0.68 0.17 -25 -89 
n 0.24 0.34 -44 -95 
n 0.84 0.39 32 -68 
n 0.39 0.89 -17 49 
n 0.44 0.31 93 49 
n 0.12 0.78 99 81 
n 0.76 0.26 10 -49 
n 0.74 0.65 63 -41 
n 0.25 0.18 38 39 
n 0.66 0.74 -28 39 
n 0.51 0.7 -2 -47 
n 0.53 0.39 38 8 
n 0.27 0.55 -42 -6 
n 0.59 0.61 -67 88 
n 0.25 0.7 19 93 
n 0.41 0.71 40 27 
n 0.78 0.6 -61 56 
n 0.12 0.87 43 33 
n 0.26 0.69 -18 -39 
n 0.38 0.48 -69 19 
n 0.75 0.28 75 -18 
n 0.36 0.48 31 85 
n 0.41 0.35 25 58 
n 0.81 0.49 -16 36 
n 0.22 0.78 91 15 
n 0.74 0.62 60 -39 
n 0.18 0.87 49 -47 
n 0.55 0.73 42 33 
n 0.54 0.42 16 -81 
n 0.66 0.75 -78 53 
n 0.72 0.32 53 -80 
n 0.47 0.35 -46 -26 
n 0.54 0.9 -25 -54 
n 0.17 0.55 69 -46 
n 0.1 0.3 0 -78 
n 0.6 0.56 -84 74 
n 0.39 0.36 -16 16 
n 0.5 0.74 -63 -14 
n 0.8 0.15 51 -77 
n 0.73 0.83 -39 61 
n 0.53 0.54 5 97 
n 0.2 0.78 -55 39 
n 0.84 0.58 70 -14 
n 0.41 0.56 0 95 
n 0.5 0.41 -45 7 
n 0.88 0.56 38 -24 
n 0.21 0.5 50 -37 
n 0.48 0.39 59 71 
n 0.69 0.67 -73 -96 
n 0.2 0.84 -29 72 
n 0.63 0.86 -47 12 
n 0.69 0.8 -88 -61 
n 0.64 0.8 -88 36 
n 0.77 0.21 -46 -3 
n 0.87 0.72 26 -37 
n 0.12 0.64 -39 -67 
n 0.82 0.18 92 27 
n 0.58 0.57 -80 -31 
n 0.11 0.33 93 -50 
n 0.59 0.23 -20 -5 
n 0.8 0.21 -22 73 
n 0.69 0.82 -4 -7 
n 0.31 0.79 54 -48 
n 0.75 0.5 -70 39 
n 0.4 0.19 54 -82 
n 0.88 0.26 29 41 
n 0.41 0.53 -87 51 
n 0.15 0.53 -96 -36 
n 0.27 0.48 49 8 
n 0.63 0.38 -5 54 
n 0.63 0.19 -26 43 
n 0.68 0.57 -11 60 
n 0.41 0.36 40 61 
n 0.8 0.49 82 35 
n 0.52 0.4 -92 12 
n 0.62 0.73 -93 -86 
n 0.81 0.61 -66 63 
n 0.33 0.26 -72 -87 
n 0.19 0.8 -57 -84 
n 0.61 0.29 23 52 
n 0.68 0.85 -56 -62 
n 0.34 0.59 -19 59 
n 0.83 0.14 63 -14 
n 0.46 0.82 -13 38 
n 0.59 0.46 -19 87 
n 0.35 0.41 44 -84 
n 0.74 0.56 98 -17 
n 0.42 0.32 -16 62 
n 0.48 0.85 3 66 
n 0.8 0.89 26 22 
n 0.61 0.89 -38 -81 
n 0.62 0.54 70 80 
n 0.78 0.32 17 -35 
n 0.82 0.3 96 -83 
n 0.83 0.87 -77 80 
n 0.34 0.76 -14 44 
n 0.48 0.6 -33 33 
n 0.23 0.31 33 -33 
n 0.17 0.73 70 0 
n 0.34 0.83 -50 60 
n 0.18 0.19 -50 -60 
n 0.3 0.41 75 0 
n 0.47 0.26 0 75 
n 0.72 0.86 -75 0 
n 0.3 0.49 0 -75 
n 0.3 0.37 40 80 
n 0.55 0.67 40 -80 
n 0.36 0.83 -60 20 
n 0.11 0.19 -60 -20 
