t 431 15 2
n 0.84 0.3 37 -25 
n 0.16 0.21 38 -9 
n 0.5 0.52 41 -8 
n 0.1 0.46 37 -6 
n 0.85 0.74 36 -6 
n 0.7 0.74 36 -4 
n 0.53 0.71 37 -3 
n 0.76 0.64 38 -4 
n 0.4 0.58 38 -0 
n 0.61 0.53 39 -0 
n 0.43 0.61 41 2 
n 0.65 0.7 41 -1 
n 0.88 0.72 40 -3 
n 0.63 0.61 41 -4 
n 0.41 0.5 43 -3 
n 0.32 0.26 43 -8 
n 0.14 0.39 39 1 
n 0.12 0.73 39 2 
n 0.78 0.35 42 1 
n 0.89 0.18 44 -0 
n 0.62 0.39 43 1 
n 0.14 0.28 43 5 
n 0.65 0.75 43 7 
n 0.34 0.72 43 7 
n 0.4 0.56 42 9 
n 0.64 0.82 46 1 
n 0.56 0.18 45 4 
n 0.44 0.59 45 5 
n 0.27 0.13 45 5 
n 0.37 0.28 48 -4 
n 0.33 0.38 48 -1 
n 0.86 0.36 47 -1 
n 0.67 0.23 47 0 
n 0.17 0.18 49 0 
n 0.15 0.31 49 2 
n 0.59 0.42 49 4 
n 0.71 0.85 47 5 
n 0.22 0.55 48 6 
n 0.5 0.21 48 7 
n 0.52 0.53 49 6 
n 0.39 0.55 50 5 
n 0.12 0.11 50 4 
n 0.83 0.26 50 3 
n 0.85 0.43 51 3 
n 0.26 0.87 51 4 
n 0.64 0.18 51 5 
n 0.71 0.14 52 4 
n 0.51 0.17 52 5 
n 0.54 0.35 52 5 
n 0.63 0.47 53 6 
n 0.82 0.2 50 -4 
n 0.36 0.13 50 -2 
n 0.84 0.18 50 -0 
n 0.24 0.43 51 -3 
n 0.88 0.82 51 -2 
n 0.31 0.22 51 -0 
n 0.7 0.43 52 -2 
n 0.49 0.38 53 -3 
n 0.88 0.47 53 -2 
n 0.4 0.69 53 -1 
n 0.55 0.55 54 -1 
n 0.32 0.6 55 -1 
n 0.59 0.63 56 -3 
n 0.14 0.53 56 -4 
n 0.73 0.42 56 -3 
n 0.54 0.39 57 -2 
n 0.75 0.31 60 -1 
n 0.83 0.64 62 -6 
n 0.74 0.19 52 -8 
n 0.76 0.39 52 -8 
n 0.41 0.57 53 -6 
n 0.39 0.4 54 -6 
n 0.27 0.72 55 -7 
n 0.39 0.19 64 -22 
n 0.25 0.45 64 -51 
n 0.13 0.7 76 -68 
n 0.89 0.68 70 23 
n 0.44 0.28 68 17 
n 0.46 0.73 65 25 
n 0.67 0.51 61 23 
n 0.51 0.8 60 22 
n 0.65 0.74 60 25 
n 0.31 0.7 63 10 
n 0.28 0.65 60 5 
n 0.51 0.84 59 5 
n 0.48 0.88 60 10 
n 0.22 0.63 57 12 
n 0.49 0.87 55 13 
n 0.72 0.65 58 15 
n 0.25 0.87 59 18 
n 0.17 0.18 57 18 
n 0.41 0.28 56 10 
n 0.79 0.55 55 10 
n 0.79 0.69 55 12 
n 0.39 0.14 53 8 
n 0.86 0.49 53 10 
n 0.52 0.52 54 10 
n 0.63 0.49 54 12 
n 0.79 0.37 52 7 
n 0.86 0.77 52 9 
n 0.44 0.44 52 11 
n 0.5 0.88 52 13 
n 0.68 0.84 50 6 
n 0.15 0.45 50 7 
n 0.66 0.13 51 7 
n 0.49 0.28 51 6 
n 0.65 0.9 51 7 
n 0.51 0.55 51 7 
n 0.51 0.32 51 7 
n 0.51 0.89 51 7 
n 0.26 0.65 51 7 
n 0.81 0.85 51 9 
n 0.59 0.28 51 11 
n 0.45 0.66 51 12 
n 0.3 0.34 51 12 
n 0.6 0.85 50 13 
n 0.45 0.3 51 13 
n 0.14 0.63 49 7 
n 0.36 0.13 50 8 
n 0.64 0.41 49 8 
n 0.78 0.58 49 10 
n 0.61 0.76 49 11 
n 0.44 0.21 49 8 
n 0.66 0.34 48 9 
n 0.49 0.77 49 12 
n 0.65 0.15 48 11 
n 0.8 0.6 46 6 
n 0.1 0.28 46 6 
n 0.11 0.52 47 7 
n 0.46 0.56 47 7 
n 0.44 0.62 47 8 
n 0.43 0.22 47 11 
n 0.84 0.82 47 13 
n 0.25 0.48 48 14 
n 0.79 0.46 48 16 
n 0.77 0.83 47 15 
n 0.75 0.16 45 7 
n 0.67 0.58 45 9 
n 0.88 0.41 45 11 
n 0.57 0.17 45 12 
n 0.74 0.17 45 13 
n 0.6 0.31 44 9 
n 0.51 0.14 44 11 
n 0.27 0.52 43 11 
n 0.37 0.73 44 12 
n 0.17 0.57 39 9 
n 0.8 0.82 42 12 
n 0.84 0.15 41 14 
n 0.39 0.18 41 15 
n 0.54 0.36 41 17 
n 0.46 0.6 40 17 
n 0.2 0.62 38 15 
n 0.25 0.38 37 15 
n 0.68 0.17 38 13 
n 0.24 0.34 36 14 
n 0.84 0.39 53 14 
n 0.39 0.89 54 18 
n 0.44 0.31 53 18 
n 0.12 0.78 52 17 
n 0.76 0.26 51 19 
n 0.74 0.65 52 21 
n 0.25 0.18 53 23 
n 0.66 0.74 51 17 
n 0.51 0.7 50 19 
n 0.53 0.39 50 20 
n 0.27 0.55 51 22 
n 0.59 0.61 49 13 
n 0.25 0.7 50 14 
n 0.41 0.71 50 18 
n 0.78 0.6 49 16 
n 0.12 0.87 48 17 
n 0.26 0.69 48 21 
n 0.38 0.48 47 19 
n 0.75 0.28 47 21 
n 0.36 0.48 46 18 
n 0.41 0.35 46 20 
n 0.81 0.49 45 21 
n 0.22 0.78 46 23 
n 0.74 0.62 47 27 
n 0.18 0.87 45 24 
n 0.55 0.73 45 25 
n 0.54 0.42 44 26 
n 0.66 0.75 44 28 
n 0.72 0.32 46 14 
n 0.47 0.35 45 14 
n 0.54 0.9 45 16 
n 0.17 0.55 43 16 
n 0.1 0.3 44 18 
n 0.6 0.56 44 20 
n 0.39 0.36 42 18 
n 0.5 0.74 42 21 
n 0.8 0.15 41 20 
n 0.73 0.83 42 23 
n 0.53 0.54 42 24 
n 0.2 0.78 43 28 
n 0.84 0.58 42 27 
n 0.41 0.56 39 20 
n 0.5 0.41 40 23 
n 0.88 0.56 38 21 
n 0.21 0.5 38 23 
n 0.48 0.39 35 25 
n 0.69 0.67 35 33 
