t 150 15 2
n 0.84 0.3 1380 939 
n 0.16 0.21 2848 96 
n 0.5 0.52 3510 1671 
n 0.1 0.46 457 334 
n 0.85 0.74 3888 666 
n 0.7 0.74 984 965 
n 0.53 0.71 2721 1482 
n 0.76 0.64 1286 525 
n 0.4 0.58 2716 1432 
n 0.61 0.53 738 1325 
n 0.43 0.61 1251 1832 
n 0.65 0.7 2728 1698 
n 0.88 0.72 3815 169 
n 0.63 0.61 3683 1533 
n 0.41 0.5 1247 1945 
n 0.32 0.26 123 862 
n 0.14 0.39 1234 1946 
n 0.12 0.73 252 1240 
n 0.78 0.35 611 673 
n 0.89 0.18 2576 1676 
n 0.62 0.39 928 1700 
n 0.14 0.28 53 857 
n 0.65 0.75 1807 1711 
n 0.34 0.72 274 1420 
n 0.4 0.56 2574 946 
n 0.64 0.82 178 24 
n 0.56 0.18 2678 1825 
n 0.44 0.59 1795 962 
n 0.27 0.13 3384 1498 
n 0.37 0.28 3520 1079 
n 0.33 0.38 1256 61 
n 0.86 0.36 1424 1728 
n 0.67 0.23 3913 192 
n 0.17 0.18 3085 1528 
n 0.15 0.31 2573 1969 
n 0.59 0.42 463 1670 
n 0.71 0.85 3875 598 
n 0.22 0.55 298 1513 
n 0.5 0.21 3479 821 
n 0.52 0.53 2542 236 
n 0.39 0.55 3955 1743 
n 0.12 0.11 1323 280 
n 0.83 0.26 3447 1830 
n 0.85 0.43 2936 337 
n 0.26 0.87 1621 1830 
n 0.64 0.18 3373 1646 
n 0.71 0.14 1393 1368 
n 0.51 0.17 3874 1318 
n 0.54 0.35 938 955 
n 0.63 0.47 3022 474 
n 0.82 0.2 2482 1183 
n 0.36 0.13 3854 923 
n 0.84 0.18 376 825 
n 0.24 0.43 2519 135 
n 0.88 0.82 2945 1622 
n 0.31 0.22 953 268 
n 0.7 0.43 2628 1479 
n 0.49 0.38 2097 981 
n 0.88 0.47 890 1846 
n 0.4 0.69 2139 1806 
n 0.55 0.55 2421 1007 
n 0.32 0.6 2290 1810 
n 0.59 0.63 1115 1052 
n 0.14 0.53 2588 302 
n 0.73 0.42 327 265 
n 0.54 0.39 241 341 
n 0.75 0.31 1917 687 
n 0.83 0.64 2991 792 
n 0.74 0.19 2573 599 
n 0.76 0.39 19 674 
n 0.41 0.57 3911 1673 
n 0.39 0.4 872 1559 
n 0.27 0.72 2863 558 
n 0.39 0.19 929 1766 
n 0.25 0.45 839 620 
n 0.13 0.7 3893 102 
n 0.89 0.68 2178 1619 
n 0.44 0.28 3822 899 
n 0.46 0.73 378 1048 
n 0.67 0.51 1178 100 
n 0.51 0.8 2599 901 
n 0.65 0.74 3416 143 
n 0.31 0.7 2961 1605 
n 0.28 0.65 611 1384 
n 0.51 0.84 3113 885 
n 0.48 0.88 2597 1830 
n 0.22 0.63 2586 1286 
n 0.49 0.87 161 906 
n 0.72 0.65 1429 134 
n 0.25 0.87 742 1025 
n 0.17 0.18 1625 1651 
n 0.41 0.28 1187 706 
n 0.79 0.55 1787 1009 
n 0.79 0.69 22 987 
n 0.39 0.14 3640 43 
n 0.86 0.49 3756 882 
n 0.52 0.52 776 392 
n 0.63 0.49 1724 1642 
n 0.79 0.37 198 1810 
n 0.86 0.77 3950 1558 
n 0.44 0.44 3477 949 
n 0.5 0.88 91 1732 
n 0.68 0.84 3972 329 
n 0.15 0.45 198 1632 
n 0.66 0.13 1806 733 
n 0.49 0.28 538 1023 
n 0.65 0.9 3430 1088 
n 0.51 0.55 2186 766 
n 0.51 0.32 1513 1646 
n 0.51 0.89 2143 1611 
n 0.26 0.65 53 1657 
n 0.81 0.85 3404 1307 
n 0.59 0.28 1034 1344 
n 0.45 0.66 2823 376 
n 0.3 0.34 3104 1931 
n 0.6 0.85 3232 324 
n 0.45 0.3 2790 1457 
n 0.14 0.63 374 9 
n 0.36 0.13 741 146 
n 0.64 0.41 3083 1938 
n 0.78 0.58 3502 1067 
n 0.61 0.76 1280 237 
n 0.44 0.21 3326 1846 
n 0.66 0.34 217 38 
n 0.49 0.77 2503 1172 
n 0.65 0.15 3527 41 
n 0.8 0.6 739 1850 
n 0.1 0.28 3548 1999 
n 0.11 0.52 48 154 
n 0.46 0.56 1419 872 
n 0.44 0.62 1689 1223 
n 0.43 0.22 3468 1404 
n 0.84 0.82 1628 253 
n 0.25 0.48 382 872 
n 0.79 0.46 3029 1242 
n 0.77 0.83 3646 1758 
n 0.75 0.16 285 1029 
n 0.67 0.58 1782 93 
n 0.88 0.41 1067 371 
n 0.57 0.17 2849 1214 
n 0.74 0.17 920 1835 
n 0.6 0.31 1741 712 
n 0.51 0.14 876 220 
n 0.27 0.52 2753 283 
n 0.37 0.73 2609 1286 
n 0.17 0.57 3941 258 
n 0.8 0.82 3613 523 
n 0.84 0.15 1754 559 
n 0.39 0.18 2916 1724 
n 0.54 0.36 2445 1820 
