t 100 15 2
n 0.84 0.3 3140 1401 
n 0.16 0.21 556 1056 
n 0.5 0.52 3675 1522 
n 0.1 0.46 1182 1853 
n 0.85 0.74 3595 111 
n 0.7 0.74 962 1895 
n 0.53 0.71 2030 1186 
n 0.76 0.64 3507 1851 
n 0.4 0.58 2642 1269 
n 0.61 0.53 3438 901 
n 0.43 0.61 3858 1472 
n 0.65 0.7 2937 1568 
n 0.88 0.72 376 1018 
n 0.63 0.61 839 1355 
n 0.41 0.5 706 1925 
n 0.32 0.26 749 920 
n 0.14 0.39 298 615 
n 0.12 0.73 694 552 
n 0.78 0.35 387 190 
n 0.89 0.18 2801 695 
n 0.62 0.39 3133 1143 
n 0.14 0.28 1517 266 
n 0.65 0.75 1538 224 
n 0.34 0.72 844 520 
n 0.4 0.56 2639 1239 
n 0.64 0.82 3123 217 
n 0.56 0.18 2489 1520 
n 0.44 0.59 3834 1827 
n 0.27 0.13 3417 1808 
n 0.37 0.28 2938 543 
n 0.33 0.38 71 1323 
n 0.86 0.36 3245 1828 
n 0.67 0.23 731 1741 
n 0.17 0.18 2312 1270 
n 0.15 0.31 2426 1851 
n 0.59 0.42 380 478 
n 0.71 0.85 2310 635 
n 0.22 0.55 2830 775 
n 0.5 0.21 3829 513 
n 0.52 0.53 3684 445 
n 0.39 0.55 171 514 
n 0.12 0.11 627 1261 
n 0.83 0.26 1490 1123 
n 0.85 0.43 61 81 
n 0.26 0.87 422 542 
n 0.64 0.18 2698 1221 
n 0.71 0.14 2372 127 
n 0.51 0.17 177 1390 
n 0.54 0.35 3084 748 
n 0.63 0.47 1213 910 
n 0.82 0.2 3 1817 
n 0.36 0.13 1782 995 
n 0.84 0.18 3896 742 
n 0.24 0.43 1829 812 
n 0.88 0.82 1286 550 
n 0.31 0.22 3017 108 
n 0.7 0.43 2132 1432 
n 0.49 0.38 2000 1110 
n 0.88 0.47 3317 1966 
n 0.4 0.69 1729 1498 
n 0.55 0.55 2408 1747 
n 0.32 0.6 3292 152 
n 0.59 0.63 193 1210 
n 0.14 0.53 782 1462 
n 0.73 0.42 2503 352 
n 0.54 0.39 1697 1924 
n 0.75 0.31 3821 147 
n 0.83 0.64 3370 791 
n 0.74 0.19 3162 367 
n 0.76 0.39 3938 516 
n 0.41 0.57 2741 1583 
n 0.39 0.4 2330 741 
n 0.27 0.72 3918 1088 
n 0.39 0.19 1794 1589 
n 0.25 0.45 2929 485 
n 0.13 0.7 3453 1998 
n 0.89 0.68 896 705 
n 0.44 0.28 399 850 
n 0.46 0.73 2614 195 
n 0.67 0.51 2800 653 
n 0.51 0.8 2630 20 
n 0.65 0.74 563 1513 
n 0.31 0.7 1090 1652 
n 0.28 0.65 2009 1163 
n 0.51 0.84 3876 1165 
n 0.48 0.88 3084 774 
n 0.22 0.63 1526 1612 
n 0.49 0.87 1612 328 
n 0.72 0.65 1423 1322 
n 0.25 0.87 3058 1276 
n 0.17 0.18 3782 1865 
n 0.41 0.28 347 252 
n 0.79 0.55 3904 1444 
n 0.79 0.69 2191 1579 
n 0.39 0.14 3220 1454 
n 0.86 0.49 468 319 
n 0.52 0.52 3611 1968 
n 0.63 0.49 3114 1629 
n 0.79 0.37 3515 1892 
n 0.86 0.77 3060 155 
