t 100 5 2
n 0.84 0.3 1357 1905 
n 0.16 0.21 2650 802 
n 0.5 0.52 1774 107 
n 0.1 0.46 1307 964 
n 0.85 0.74 3806 746 
n 0.7 0.74 2687 1353 
n 0.53 0.71 43 1957 
n 0.76 0.64 3092 1668 
n 0.4 0.58 185 1542 
n 0.61 0.53 834 629 
n 0.43 0.61 40 462 
n 0.65 0.7 1183 1391 
n 0.88 0.72 2048 1628 
n 0.63 0.61 1097 643 
n 0.41 0.5 1838 1732 
n 0.32 0.26 234 1118 
n 0.14 0.39 3314 1881 
n 0.12 0.73 737 1285 
n 0.78 0.35 779 777 
n 0.89 0.18 2312 1949 
n 0.62 0.39 2576 189 
n 0.14 0.28 3078 1541 
n 0.65 0.75 2781 478 
n 0.34 0.72 705 1812 
n 0.4 0.56 3409 1917 
n 0.64 0.82 323 1714 
n 0.56 0.18 1660 1556 
n 0.44 0.59 3729 1188 
n 0.27 0.13 693 1383 
n 0.37 0.28 2361 640 
n 0.33 0.38 2433 1538 
n 0.86 0.36 554 1825 
n 0.67 0.23 913 317 
n 0.17 0.18 3586 1909 
n 0.15 0.31 2636 727 
n 0.59 0.42 1000 457 
n 0.71 0.85 482 1337 
n 0.22 0.55 3704 1082 
n 0.5 0.21 3635 1174 
n 0.52 0.53 1362 1526 
n 0.39 0.55 2049 417 
n 0.12 0.11 2552 1909 
n 0.83 0.26 3939 640 
n 0.85 0.43 219 898 
n 0.26 0.87 812 351 
n 0.64 0.18 901 1552 
n 0.71 0.14 2513 1572 
n 0.51 0.17 242 584 
n 0.54 0.35 826 1226 
n 0.63 0.47 3278 799 
n 0.82 0.2 86 1065 
n 0.36 0.13 14 454 
n 0.84 0.18 1327 1893 
n 0.24 0.43 2773 1286 
n 0.88 0.82 2469 1838 
n 0.31 0.22 3835 963 
n 0.7 0.43 1031 428 
n 0.49 0.38 3853 1712 
n 0.88 0.47 1868 197 
n 0.4 0.69 1544 863 
n 0.55 0.55 457 1607 
n 0.32 0.6 3174 1064 
n 0.59 0.63 192 1004 
n 0.14 0.53 2318 1925 
n 0.73 0.42 2232 1374 
n 0.54 0.39 396 828 
n 0.75 0.31 2365 1649 
n 0.83 0.64 2499 658 
n 0.74 0.19 1410 307 
n 0.76 0.39 2990 214 
n 0.41 0.57 3646 1018 
n 0.39 0.4 3394 1028 
n 0.27 0.72 1779 90 
n 0.39 0.19 1058 372 
n 0.25 0.45 2933 1459 
n 0.13 0.7 3099 173 
n 0.89 0.68 2178 978 
n 0.44 0.28 138 1610 
n 0.46 0.73 2082 1753 
n 0.67 0.51 2302 1127 
n 0.51 0.8 805 272 
n 0.65 0.74 22 1617 
n 0.31 0.7 3213 1085 
n 0.28 0.65 99 536 
n 0.51 0.84 1533 1780 
n 0.48 0.88 3564 676 
n 0.22 0.63 29 6 
n 0.49 0.87 3808 1375 
n 0.72 0.65 2221 291 
n 0.25 0.87 3499 1885 
n 0.17 0.18 3124 408 
n 0.41 0.28 781 671 
n 0.79 0.55 1027 1041 
n 0.79 0.69 3249 378 
n 0.39 0.14 3297 491 
n 0.86 0.49 213 220 
n 0.52 0.52 721 186 
n 0.63 0.49 3736 1542 
n 0.79 0.37 868 731 
n 0.86 0.77 960 303 
