t 100 15 2
n 0.84 0.3 2995 264 
n 0.16 0.21 202 233 
n 0.5 0.52 981 848 
n 0.1 0.46 1346 408 
n 0.85 0.74 781 670 
n 0.7 0.74 1009 1001 
n 0.53 0.71 2927 1777 
n 0.76 0.64 2982 949 
n 0.4 0.58 555 1121 
n 0.61 0.53 464 1302 
n 0.43 0.61 3452 637 
n 0.65 0.7 571 1982 
n 0.88 0.72 2656 128 
n 0.63 0.61 1623 1723 
n 0.41 0.5 2067 694 
n 0.32 0.26 1725 927 
n 0.14 0.39 3600 459 
n 0.12 0.73 1109 1196 
n 0.78 0.35 366 339 
n 0.89 0.18 778 1282 
n 0.62 0.39 386 1616 
n 0.14 0.28 3918 1217 
n 0.65 0.75 3332 1049 
n 0.34 0.72 2597 349 
n 0.4 0.56 811 1295 
n 0.64 0.82 241 1069 
n 0.56 0.18 2658 360 
n 0.44 0.59 394 1944 
n 0.27 0.13 3786 1862 
n 0.37 0.28 264 36 
n 0.33 0.38 2050 1833 
n 0.86 0.36 3538 125 
n 0.67 0.23 1646 1817 
n 0.17 0.18 2993 624 
n 0.15 0.31 547 25 
n 0.59 0.42 3373 1902 
n 0.71 0.85 460 267 
n 0.22 0.55 3060 781 
n 0.5 0.21 1828 456 
n 0.52 0.53 1021 962 
n 0.39 0.55 2347 388 
n 0.12 0.11 3535 1112 
n 0.83 0.26 1529 581 
n 0.85 0.43 1203 385 
n 0.26 0.87 1787 1902 
n 0.64 0.18 2740 1101 
n 0.71 0.14 555 1753 
n 0.51 0.17 47 363 
n 0.54 0.35 3935 540 
n 0.63 0.47 3062 329 
n 0.82 0.2 387 199 
n 0.36 0.13 2901 920 
n 0.84 0.18 931 512 
n 0.24 0.43 1766 692 
n 0.88 0.82 401 980 
n 0.31 0.22 149 1629 
n 0.7 0.43 2214 1977 
n 0.49 0.38 3805 1619 
n 0.88 0.47 1179 969 
n 0.4 0.69 1017 333 
n 0.55 0.55 2834 1512 
n 0.32 0.6 634 294 
n 0.59 0.63 1819 814 
n 0.14 0.53 1393 859 
n 0.73 0.42 1768 1578 
n 0.54 0.39 3023 871 
n 0.75 0.31 3248 1906 
n 0.83 0.64 1632 1742 
n 0.74 0.19 2223 990 
n 0.76 0.39 3868 697 
n 0.41 0.57 1541 354 
n 0.39 0.4 2374 1944 
n 0.27 0.72 1962 389 
n 0.39 0.19 3007 1524 
n 0.25 0.45 3220 1945 
n 0.13 0.7 2356 1568 
n 0.89 0.68 1604 706 
n 0.44 0.28 2028 1736 
n 0.46 0.73 2581 121 
n 0.67 0.51 2221 1578 
n 0.51 0.8 2944 632 
n 0.65 0.74 1082 1561 
n 0.31 0.7 997 942 
n 0.28 0.65 2334 523 
n 0.51 0.84 1264 1090 
n 0.48 0.88 1699 1294 
n 0.22 0.63 235 1059 
n 0.49 0.87 2592 248 
n 0.72 0.65 3642 699 
n 0.25 0.87 3599 514 
n 0.17 0.18 1766 678 
n 0.41 0.28 240 619 
n 0.79 0.55 1272 246 
n 0.79 0.69 3503 301 
n 0.39 0.14 80 1533 
n 0.86 0.49 1677 1238 
n 0.52 0.52 3766 154 
n 0.63 0.49 3946 459 
n 0.79 0.37 1994 1852 
n 0.86 0.77 278 165 
