t 442 20 2
n 0.84 0.3 200 400 
n 0.16 0.21 200 500 
n 0.5 0.52 200 600 
n 0.1 0.46 200 700 
n 0.85 0.74 200 800 
n 0.7 0.74 200 900 
n 0.53 0.71 200 1000 
n 0.76 0.64 200 1100 
n 0.4 0.58 200 1200 
n 0.61 0.53 200 1300 
n 0.43 0.61 200 1400 
n 0.65 0.7 200 1500 
n 0.88 0.72 200 1600 
n 0.63 0.61 200 1700 
n 0.41 0.5 200 1800 
n 0.32 0.26 200 1900 
n 0.14 0.39 200 2000 
n 0.12 0.73 200 2100 
n 0.78 0.35 200 2200 
n 0.89 0.18 200 2300 
n 0.62 0.39 200 2400 
n 0.14 0.28 200 2500 
n 0.65 0.75 200 2600 
n 0.34 0.72 200 2700 
n 0.4 0.56 200 2800 
n 0.64 0.82 200 2900 
n 0.56 0.18 200 3000 
n 0.44 0.59 200 3100 
n 0.27 0.13 200 3200 
n 0.37 0.28 200 3300 
n 0.33 0.38 200 3400 
n 0.86 0.36 200 3500 
n 0.67 0.23 200 3600 
n 0.17 0.18 300 400 
n 0.15 0.31 300 500 
n 0.59 0.42 300 600 
n 0.71 0.85 300 700 
n 0.22 0.55 300 800 
n 0.5 0.21 300 900 
n 0.52 0.53 300 1000 
n 0.39 0.55 300 1100 
n 0.12 0.11 300 1200 
n 0.83 0.26 300 1300 
n 0.85 0.43 300 1400 
n 0.26 0.87 300 1500 
n 0.64 0.18 300 1600 
n 0.71 0.14 300 1700 
n 0.51 0.17 300 1800 
n 0.54 0.35 300 1900 
n 0.63 0.47 300 2000 
n 0.82 0.2 300 2100 
n 0.36 0.13 300 2200 
n 0.84 0.18 300 2300 
n 0.24 0.43 300 2400 
n 0.88 0.82 300 2500 
n 0.31 0.22 300 2600 
n 0.7 0.43 300 2700 
n 0.49 0.38 300 2800 
n 0.88 0.47 300 2900 
n 0.4 0.69 300 3000 
n 0.55 0.55 300 3100 
n 0.32 0.6 300 3200 
n 0.59 0.63 300 3300 
n 0.14 0.53 300 3400 
n 0.73 0.42 300 3500 
n 0.54 0.39 400 400 
n 0.75 0.31 400 500 
n 0.83 0.64 400 600 
n 0.74 0.19 400 700 
n 0.76 0.39 400 800 
n 0.41 0.57 400 900 
n 0.39 0.4 400 1000 
n 0.27 0.72 400 1100 
n 0.39 0.19 400 1200 
n 0.25 0.45 400 1300 
n 0.13 0.7 400 1400 
n 0.89 0.68 400 1500 
n 0.44 0.28 400 1600 
n 0.46 0.73 400 1700 
n 0.67 0.51 400 1800 
n 0.51 0.8 400 1900 
n 0.65 0.74 400 2000 
n 0.31 0.7 400 2100 
n 0.28 0.65 400 2200 
n 0.51 0.84 400 2300 
n 0.48 0.88 400 2400 
n 0.22 0.63 400 2500 
n 0.49 0.87 400 2600 
n 0.72 0.65 400 2700 
n 0.25 0.87 400 2800 
n 0.17 0.18 400 2900 
n 0.41 0.28 400 3000 
n 0.79 0.55 400 3100 
n 0.79 0.69 400 3200 
n 0.39 0.14 400 3300 
n 0.86 0.49 400 3400 
n 0.52 0.52 400 3500 
n 0.63 0.49 400 3600 
n 0.79 0.37 500 1500 
n 0.86 0.77 500 1829 
n 0.44 0.44 500 3100 
n 0.5 0.88 600 400 
n 0.68 0.84 700 300 
n 0.15 0.45 700 600 
n 0.66 0.13 700 1500 
n 0.49 0.28 700 1600 
n 0.65 0.9 700 1800 
n 0.51 0.55 700 2100 
n 0.51 0.32 700 2400 
n 0.51 0.89 700 2700 
n 0.26 0.65 700 3000 
n 0.81 0.85 700 3300 
n 0.59 0.28 700 3600 
n 0.45 0.66 800 300 
n 0.3 0.34 800 600 
n 0.6 0.85 800 1030 
n 0.45 0.3 800 1500 
n 0.14 0.63 800 1800 
n 0.36 0.13 800 2100 
n 0.64 0.41 800 2400 
n 0.78 0.58 800 2600 
n 0.61 0.76 800 2700 
n 0.44 0.21 800 3000 
n 0.66 0.34 800 3300 
n 0.49 0.77 800 3600 
n 0.65 0.15 900 300 
n 0.8 0.6 900 600 
n 0.1 0.28 900 1500 
n 0.11 0.52 900 1800 
n 0.46 0.56 900 2100 
n 0.44 0.62 900 2400 
n 0.43 0.22 900 2700 
n 0.84 0.82 900 3000 
n 0.25 0.48 900 3300 
n 0.79 0.46 900 3600 
n 0.77 0.83 1000 300 
n 0.75 0.16 1000 600 
n 0.67 0.58 1000 1100 
n 0.88 0.41 1000 1500 
n 0.57 0.17 1000 1629 
n 0.74 0.17 1000 1800 
n 0.6 0.31 1000 2100 
n 0.51 0.14 1000 2400 
n 0.27 0.52 1000 2600 
n 0.37 0.73 1000 2700 
n 0.17 0.57 1000 3000 
n 0.8 0.82 1000 3300 
n 0.84 0.15 1000 3600 
n 0.39 0.18 1100 300 
n 0.54 0.36 1100 600 
n 0.46 0.6 1100 700 
n 0.2 0.62 1100 900 
n 0.25 0.38 1100 1500 
n 0.68 0.17 1100 1800 
n 0.24 0.34 1100 2100 
n 0.84 0.39 1100 2400 
n 0.39 0.89 1100 2700 
n 0.44 0.31 1100 3000 
n 0.12 0.78 1100 3300 
n 0.76 0.26 1100 3600 
n 0.74 0.65 1200 300 
n 0.25 0.18 1200 600 
n 0.66 0.74 1200 1500 
n 0.51 0.7 1200 1700 
n 0.53 0.39 1200 1800 
n 0.27 0.55 1200 2100 
n 0.59 0.61 1200 2400 
n 0.25 0.7 1200 2700 
n 0.41 0.71 1200 3000 
n 0.78 0.6 1200 3300 
n 0.12 0.87 1200 3600 
n 0.26 0.69 1300 300 
n 0.38 0.48 1300 600 
n 0.75 0.28 1300 700 
n 0.36 0.48 1300 1130 
n 0.41 0.35 1300 1500 
n 0.81 0.49 1300 1800 
n 0.22 0.78 1300 2100 
n 0.74 0.62 1300 2200 
n 0.18 0.87 1300 2400 
n 0.55 0.73 1300 2700 
n 0.54 0.42 1300 3000 
n 0.66 0.75 1300 3300 
n 0.72 0.32 1300 3600 
n 0.47 0.35 1400 300 
n 0.54 0.9 1400 600 
n 0.17 0.55 1400 930 
n 0.1 0.3 1400 1500 
n 0.6 0.56 1400 1800 
n 0.39 0.36 1400 2000 
n 0.5 0.74 1400 2100 
n 0.8 0.15 1400 2400 
n 0.73 0.83 1400 2500 
n 0.53 0.54 1400 2700 
n 0.2 0.78 1400 2820 
n 0.84 0.58 1400 2900 
n 0.41 0.56 1400 3000 
n 0.5 0.41 1400 3300 
n 0.88 0.56 1400 3600 
n 0.21 0.5 1500 1500 
n 0.48 0.39 1500 1800 
n 0.69 0.67 1500 1900 
n 0.2 0.84 1500 2100 
n 0.63 0.86 1500 2400 
n 0.69 0.8 1500 2700 
n 0.64 0.8 1500 2800 
n 0.77 0.21 1500 2860 
n 0.87 0.72 1500 3000 
n 0.12 0.64 1500 3300 
n 0.82 0.18 1500 3600 
n 0.58 0.57 1600 1100 
n 0.11 0.33 1600 1300 
n 0.59 0.23 1600 1500 
n 0.8 0.21 1600 1800 
n 0.69 0.82 1600 2100 
n 0.31 0.79 1600 2400 
n 0.75 0.5 1600 2700 
n 0.4 0.19 1600 3000 
n 0.88 0.26 1600 3300 
n 0.41 0.53 1600 3600 
n 0.15 0.53 1700 1200 
n 0.27 0.48 1700 1500 
n 0.63 0.38 1700 1800 
n 0.63 0.19 1700 2100 
n 0.68 0.57 1700 2400 
n 0.41 0.36 1700 3600 
n 0.8 0.49 1800 300 
n 0.52 0.4 1800 600 
n 0.62 0.73 1800 1230 
n 0.81 0.61 1800 1500 
n 0.33 0.26 1800 1800 
n 0.19 0.8 1800 2100 
n 0.61 0.29 1800 2400 
n 0.68 0.85 1900 300 
n 0.34 0.59 1900 600 
n 0.83 0.14 1900 3000 
n 0.46 0.82 1900 3520 
n 0.59 0.46 2000 300 
n 0.35 0.41 2000 370 
n 0.74 0.56 2000 600 
n 0.42 0.32 2000 800 
n 0.48 0.85 2000 900 
n 0.8 0.89 2000 1000 
