t 144 5 2
n 0.84 0.3 4350 4425 
n 0.16 0.21 4500 4425 
n 0.5 0.52 4300 4725 
n 0.1 0.46 4300 4825 
n 0.85 0.74 4300 4950 
n 0.7 0.74 4300 5050 
n 0.53 0.71 4350 8875 
n 0.76 0.64 4500 8875 
n 0.4 0.58 4300 9175 
n 0.61 0.53 4300 9275 
n 0.43 0.61 4300 9400 
n 0.65 0.7 4300 9500 
n 0.88 0.72 4950 10600 
n 0.63 0.61 5150 10600 
n 0.41 0.5 5525 9525 
n 0.32 0.26 5525 9425 
n 0.14 0.39 5525 9225 
n 0.12 0.73 5525 9125 
n 0.78 0.35 4950 8875 
n 0.89 0.18 5250 8875 
n 0.62 0.39 5550 8875 
n 0.14 0.28 4950 6150 
n 0.65 0.75 5150 6150 
n 0.34 0.72 5525 5075 
n 0.4 0.56 5525 4975 
n 0.64 0.82 5525 4775 
n 0.56 0.18 5525 4675 
n 0.44 0.59 4950 4425 
n 0.27 0.13 5250 4425 
n 0.37 0.28 5550 4425 
n 0.33 0.38 5875 2325 
n 0.86 0.36 5875 2475 
n 0.67 0.23 5875 2625 
n 0.17 0.18 5875 2775 
n 0.15 0.31 5675 4825 
n 0.59 0.42 5675 4925 
n 0.71 0.85 5875 6775 
n 0.22 0.55 5875 6925 
n 0.5 0.21 5875 7075 
n 0.52 0.53 5875 7225 
n 0.39 0.55 5675 9275 
n 0.12 0.11 5675 9375 
n 0.83 0.26 8125 10150 
n 0.85 0.43 8225 10150 
n 0.26 0.87 8325 10150 
n 0.64 0.18 8125 5700 
n 0.71 0.14 8225 5700 
n 0.51 0.17 8325 5700 
n 0.54 0.35 8675 3150 
n 0.63 0.47 8675 3250 
n 0.82 0.2 8675 3350 
n 0.36 0.13 8675 3450 
n 0.84 0.18 8675 3550 
n 0.24 0.43 8675 3650 
n 0.88 0.82 8675 3750 
n 0.31 0.22 8675 3850 
n 0.7 0.43 8675 3950 
n 0.49 0.38 8675 4050 
n 0.88 0.47 8425 5700 
n 0.4 0.69 8525 5700 
n 0.55 0.55 8675 7600 
n 0.32 0.6 8675 7700 
n 0.59 0.63 8675 7800 
n 0.14 0.53 8675 7900 
n 0.73 0.42 8675 8000 
n 0.54 0.39 8675 8100 
n 0.75 0.31 8675 8200 
n 0.83 0.64 8675 8300 
n 0.74 0.19 8675 8400 
n 0.76 0.39 8675 8500 
n 0.41 0.57 8425 10150 
n 0.39 0.4 8525 10150 
n 0.27 0.72 10850 9500 
n 0.39 0.19 10850 9400 
n 0.25 0.45 10850 9275 
n 0.13 0.7 10850 9175 
n 0.89 0.68 10900 8875 
n 0.44 0.28 11050 8875 
n 0.46 0.73 10850 5050 
n 0.67 0.51 10850 4950 
n 0.51 0.8 10850 4825 
n 0.65 0.74 10850 4725 
n 0.31 0.7 10900 4425 
n 0.28 0.65 11050 4425 
n 0.51 0.84 11500 4425 
n 0.48 0.88 11800 4425 
n 0.22 0.63 11500 6150 
n 0.49 0.87 11700 6150 
n 0.72 0.65 11500 8875 
n 0.25 0.87 11800 8875 
n 0.17 0.18 11500 10600 
n 0.41 0.28 11700 10600 
n 0.79 0.55 12075 9525 
n 0.79 0.69 12075 9425 
n 0.39 0.14 12225 9375 
n 0.86 0.49 12225 9275 
n 0.52 0.52 12075 9225 
n 0.63 0.49 12075 9125 
n 0.79 0.37 12100 8875 
n 0.86 0.77 12425 7225 
n 0.44 0.44 12425 7075 
n 0.5 0.88 12425 6925 
n 0.68 0.84 12425 6775 
n 0.15 0.45 12075 5075 
n 0.66 0.13 12075 4975 
n 0.49 0.28 12225 4925 
n 0.65 0.9 12225 4825 
n 0.51 0.55 12075 4775 
n 0.51 0.32 12075 4675 
n 0.51 0.89 12100 4425 
n 0.26 0.65 12425 2775 
n 0.81 0.85 12425 2625 
n 0.59 0.28 12425 2475 
n 0.45 0.66 12425 2325 
n 0.3 0.34 14675 5700 
n 0.6 0.85 14675 10150 
n 0.45 0.3 14775 10150 
n 0.14 0.63 14875 10150 
n 0.36 0.13 14975 10150 
n 0.64 0.41 15075 10150 
n 0.78 0.58 15225 8500 
n 0.61 0.76 15225 8400 
n 0.44 0.21 15225 8300 
n 0.66 0.34 15225 8200 
n 0.49 0.77 15225 8100 
n 0.65 0.15 15225 8000 
n 0.8 0.6 15225 7900 
n 0.1 0.28 15225 7800 
n 0.11 0.52 15225 7700 
n 0.46 0.56 15225 7600 
n 0.44 0.62 14775 5700 
n 0.43 0.22 14875 5700 
n 0.84 0.82 14975 5700 
n 0.25 0.48 15075 5700 
n 0.79 0.46 15225 4050 
n 0.77 0.83 15225 3950 
n 0.75 0.16 15225 3850 
n 0.67 0.58 15225 3750 
n 0.88 0.41 15225 3650 
n 0.57 0.17 15225 3550 
n 0.74 0.17 15225 3450 
n 0.6 0.31 15225 3350 
n 0.51 0.14 15225 3250 
n 0.27 0.52 15225 3150 
