t 195 20 2
n 0.84 0.3 3 12 
n 0.16 0.21 17 12 
n 0.5 0.52 23 9 
n 0.1 0.46 34 11 
n 0.85 0.74 47 11 
n 0.7 0.74 54 12 
n 0.53 0.71 66 16 
n 0.76 0.64 75 7 
n 0.4 0.58 86 6 
n 0.61 0.53 94 8 
n 0.43 0.61 107 9 
n 0.65 0.7 115 14 
n 0.88 0.72 123 15 
n 0.63 0.61 3 32 
n 0.41 0.5 15 32 
n 0.32 0.26 26 34 
n 0.14 0.39 33 34 
n 0.12 0.73 42 34 
n 0.78 0.35 53 25 
n 0.89 0.18 64 32 
n 0.62 0.39 74 32 
n 0.14 0.28 85 34 
n 0.65 0.75 95 28 
n 0.34 0.72 104 25 
n 0.4 0.56 113 31 
n 0.64 0.82 125 34 
n 0.56 0.18 3 48 
n 0.44 0.59 15 46 
n 0.27 0.13 26 50 
n 0.37 0.28 36 54 
n 0.33 0.38 48 50 
n 0.86 0.36 54 46 
n 0.67 0.23 64 54 
n 0.17 0.18 75 44 
n 0.15 0.31 88 49 
n 0.59 0.42 98 50 
n 0.71 0.85 103 54 
n 0.22 0.55 115 47 
n 0.5 0.21 127 49 
n 0.52 0.53 6 75 
n 0.39 0.55 15 75 
n 0.12 0.11 27 73 
n 0.83 0.26 36 73 
n 0.85 0.43 47 68 
n 0.26 0.87 54 72 
n 0.64 0.18 66 68 
n 0.71 0.14 74 67 
n 0.51 0.17 85 65 
n 0.54 0.35 94 74 
n 0.63 0.47 107 65 
n 0.82 0.2 117 65 
n 0.36 0.13 125 68 
n 0.84 0.18 6 84 
n 0.24 0.43 13 95 
n 0.88 0.82 25 94 
n 0.31 0.22 37 84 
n 0.7 0.43 47 87 
n 0.49 0.38 53 95 
n 0.88 0.47 63 86 
n 0.4 0.69 77 93 
n 0.55 0.55 83 89 
n 0.32 0.6 94 95 
n 0.59 0.63 103 92 
n 0.14 0.53 115 95 
n 0.73 0.42 123 93 
n 0.54 0.39 7 114 
n 0.75 0.31 15 111 
n 0.83 0.64 24 112 
n 0.74 0.19 36 108 
n 0.76 0.39 43 112 
n 0.41 0.57 56 105 
n 0.39 0.4 64 112 
n 0.27 0.72 73 112 
n 0.39 0.19 86 107 
n 0.25 0.45 98 108 
n 0.13 0.7 104 113 
n 0.89 0.68 117 115 
n 0.44 0.28 126 109 
n 0.46 0.73 6 127 
n 0.67 0.51 17 125 
n 0.51 0.8 27 134 
n 0.65 0.74 35 126 
n 0.31 0.7 44 131 
n 0.28 0.65 54 132 
n 0.51 0.84 63 124 
n 0.48 0.88 77 127 
n 0.22 0.63 82 134 
n 0.49 0.87 96 128 
n 0.72 0.65 103 126 
n 0.25 0.87 116 130 
n 0.17 0.18 126 134 
n 0.41 0.28 7 152 
n 0.79 0.55 16 147 
n 0.79 0.69 24 153 
n 0.39 0.14 35 151 
n 0.86 0.49 45 154 
n 0.52 0.52 55 146 
n 0.63 0.49 63 155 
n 0.79 0.37 75 151 
n 0.86 0.77 87 154 
n 0.44 0.44 93 156 
n 0.5 0.88 104 151 
n 0.68 0.84 117 153 
n 0.15 0.45 127 148 
n 0.66 0.13 3 164 
n 0.49 0.28 16 172 
n 0.65 0.9 25 165 
n 0.51 0.55 35 175 
n 0.51 0.32 44 169 
n 0.51 0.89 53 174 
n 0.26 0.65 64 168 
n 0.81 0.85 76 171 
n 0.59 0.28 87 173 
n 0.45 0.66 95 174 
n 0.3 0.34 106 168 
n 0.6 0.85 114 169 
n 0.45 0.3 125 169 
n 0.14 0.63 3 190 
n 0.36 0.13 16 188 
n 0.64 0.41 25 195 
n 0.78 0.58 37 186 
n 0.61 0.76 44 189 
n 0.44 0.21 54 194 
n 0.66 0.34 66 192 
n 0.49 0.77 77 192 
n 0.65 0.15 85 188 
n 0.8 0.6 93 185 
n 0.1 0.28 106 192 
n 0.11 0.52 113 193 
n 0.46 0.56 125 195 
n 0.44 0.62 5 207 
n 0.43 0.22 15 213 
n 0.84 0.82 24 209 
n 0.25 0.48 33 214 
n 0.79 0.46 43 206 
n 0.77 0.83 53 211 
n 0.75 0.16 64 213 
n 0.67 0.58 74 212 
n 0.88 0.41 84 212 
n 0.57 0.17 94 209 
n 0.74 0.17 104 215 
n 0.6 0.31 115 206 
n 0.51 0.14 127 209 
n 0.27 0.52 6 229 
n 0.37 0.73 13 227 
n 0.17 0.57 26 235 
n 0.8 0.82 34 225 
n 0.84 0.15 43 227 
n 0.39 0.18 55 225 
n 0.54 0.36 67 229 
n 0.46 0.6 75 234 
n 0.2 0.62 87 230 
n 0.25 0.38 95 235 
n 0.68 0.17 105 228 
n 0.24 0.34 117 225 
n 0.84 0.39 127 230 
n 0.39 0.89 6 249 
n 0.44 0.31 15 246 
n 0.12 0.78 26 255 
n 0.76 0.26 33 246 
n 0.74 0.65 47 248 
n 0.25 0.18 58 252 
n 0.66 0.74 65 248 
n 0.51 0.7 73 247 
n 0.53 0.39 87 249 
n 0.27 0.55 94 245 
n 0.59 0.61 104 256 
n 0.25 0.7 113 246 
n 0.41 0.71 125 253 
n 0.78 0.6 5 266 
n 0.12 0.87 16 274 
n 0.26 0.69 24 267 
n 0.38 0.48 37 266 
n 0.75 0.28 45 267 
n 0.36 0.48 54 266 
n 0.41 0.35 67 267 
n 0.81 0.49 74 265 
n 0.22 0.78 87 264 
n 0.74 0.62 95 271 
n 0.18 0.87 106 264 
n 0.55 0.73 116 271 
n 0.54 0.42 127 273 
n 0.66 0.75 7 287 
n 0.72 0.32 17 294 
n 0.47 0.35 23 287 
n 0.54 0.9 33 284 
n 0.17 0.55 43 288 
n 0.1 0.3 53 295 
n 0.6 0.56 67 288 
n 0.39 0.36 73 286 
n 0.5 0.74 87 293 
