t 100 15 2
n 0.84 0.3 144 863 
n 0.16 0.21 882 1 
n 0.5 0.52 545 735 
n 0.1 0.46 503 876 
n 0.85 0.74 205 345 
n 0.7 0.74 702 577 
n 0.53 0.71 147 164 
n 0.76 0.64 135 808 
n 0.4 0.58 629 977 
n 0.61 0.53 675 731 
n 0.43 0.61 314 299 
n 0.65 0.7 446 982 
n 0.88 0.72 355 765 
n 0.63 0.61 398 976 
n 0.41 0.5 273 854 
n 0.32 0.26 666 312 
n 0.14 0.39 877 925 
n 0.12 0.73 134 950 
n 0.78 0.35 967 727 
n 0.89 0.18 659 889 
n 0.62 0.39 400 874 
n 0.14 0.28 118 312 
n 0.65 0.75 810 51 
n 0.34 0.72 16 114 
n 0.4 0.56 13 48 
n 0.64 0.82 650 940 
n 0.56 0.18 791 759 
n 0.44 0.59 907 613 
n 0.27 0.13 511 26 
n 0.37 0.28 32 431 
n 0.33 0.38 777 254 
n 0.86 0.36 532 907 
n 0.67 0.23 655 768 
n 0.17 0.18 186 207 
n 0.15 0.31 565 3 
n 0.59 0.42 411 438 
n 0.71 0.85 930 640 
n 0.22 0.55 941 890 
n 0.5 0.21 342 39 
n 0.52 0.53 163 95 
n 0.39 0.55 108 263 
n 0.12 0.11 83 131 
n 0.83 0.26 43 78 
n 0.85 0.43 554 100 
n 0.26 0.87 609 228 
n 0.64 0.18 890 761 
n 0.71 0.14 559 508 
n 0.51 0.17 14 508 
n 0.54 0.35 403 839 
n 0.63 0.47 886 764 
n 0.82 0.2 85 629 
n 0.36 0.13 487 259 
n 0.84 0.18 648 554 
n 0.24 0.43 968 824 
n 0.88 0.82 237 2 
n 0.31 0.22 880 738 
n 0.7 0.43 510 421 
n 0.49 0.38 936 304 
n 0.88 0.47 872 499 
n 0.4 0.69 143 841 
n 0.55 0.55 233 304 
n 0.32 0.6 200 938 
n 0.59 0.63 302 847 
n 0.14 0.53 366 566 
n 0.73 0.42 108 549 
n 0.54 0.39 803 345 
n 0.75 0.31 319 813 
n 0.83 0.64 3 702 
n 0.74 0.19 180 766 
n 0.76 0.39 978 969 
n 0.41 0.57 15 842 
n 0.39 0.4 923 954 
n 0.27 0.72 896 789 
n 0.39 0.19 668 906 
n 0.25 0.45 425 870 
n 0.13 0.7 866 370 
n 0.89 0.68 899 539 
n 0.44 0.28 622 878 
n 0.46 0.73 674 613 
n 0.67 0.51 89 492 
n 0.51 0.8 148 460 
n 0.65 0.74 428 905 
n 0.31 0.7 52 636 
n 0.28 0.65 826 232 
n 0.51 0.84 426 946 
n 0.48 0.88 316 853 
n 0.22 0.63 276 974 
n 0.49 0.87 835 248 
n 0.72 0.65 970 64 
n 0.25 0.87 124 644 
n 0.17 0.18 227 562 
n 0.41 0.28 809 791 
n 0.79 0.55 942 531 
n 0.79 0.69 706 456 
n 0.39 0.14 856 510 
n 0.86 0.49 352 1 
n 0.52 0.52 309 843 
n 0.63 0.49 751 395 
n 0.79 0.37 611 584 
n 0.86 0.77 484 116 
