t 225 20 2
n 0.84 0.3 4000 4000 
n 0.16 0.21 4000 4500 
n 0.5 0.52 4000 5000 
n 0.1 0.46 4000 5500 
n 0.85 0.74 4000 6000 
n 0.7 0.74 4000 6500 
n 0.53 0.71 4000 7000 
n 0.76 0.64 4000 7500 
n 0.4 0.58 4000 8000 
n 0.61 0.53 4000 8500 
n 0.43 0.61 4000 9000 
n 0.65 0.7 4000 9500 
n 0.88 0.72 4000 10000 
n 0.63 0.61 4000 10500 
n 0.41 0.5 4000 11000 
n 0.32 0.26 4000 11500 
n 0.14 0.39 4000 12000 
n 0.12 0.73 4000 12500 
n 0.78 0.35 4000 13000 
n 0.89 0.18 4000 13500 
n 0.62 0.39 4000 14000 
n 0.14 0.28 4000 14500 
n 0.65 0.75 4000 15000 
n 0.34 0.72 4000 15500 
n 0.4 0.56 4000 16000 
n 0.64 0.82 7000 4000 
n 0.56 0.18 7000 4500 
n 0.44 0.59 7000 5000 
n 0.27 0.13 7000 5500 
n 0.37 0.28 7000 6000 
n 0.33 0.38 7000 6500 
n 0.86 0.36 7000 7000 
n 0.67 0.23 7000 7500 
n 0.17 0.18 7000 8000 
n 0.15 0.31 7000 8500 
n 0.59 0.42 7000 9000 
n 0.71 0.85 7000 9500 
n 0.22 0.55 7000 10000 
n 0.5 0.21 7000 10500 
n 0.52 0.53 7000 11000 
n 0.39 0.55 7000 11500 
n 0.12 0.11 7000 12000 
n 0.83 0.26 7000 12500 
n 0.85 0.43 7000 13000 
n 0.26 0.87 7000 13500 
n 0.64 0.18 7000 14000 
n 0.71 0.14 7000 14500 
n 0.51 0.17 7000 15000 
n 0.54 0.35 7000 15500 
n 0.63 0.47 7000 16000 
n 0.82 0.2 10000 4000 
n 0.36 0.13 10000 4500 
n 0.84 0.18 10000 5000 
n 0.24 0.43 10000 5500 
n 0.88 0.82 10000 6000 
n 0.31 0.22 10000 6500 
n 0.7 0.43 10000 7000 
n 0.49 0.38 10000 7500 
n 0.88 0.47 10000 8000 
n 0.4 0.69 10000 8500 
n 0.55 0.55 10000 9000 
n 0.32 0.6 10000 9500 
n 0.59 0.63 10000 10000 
n 0.14 0.53 10000 10500 
n 0.73 0.42 10000 11000 
n 0.54 0.39 10000 11500 
n 0.75 0.31 10000 12000 
n 0.83 0.64 10000 12500 
n 0.74 0.19 10000 13000 
n 0.76 0.39 10000 13500 
n 0.41 0.57 10000 14000 
n 0.39 0.4 10000 14500 
n 0.27 0.72 10000 15000 
n 0.39 0.19 10000 15500 
n 0.25 0.45 10000 16000 
n 0.13 0.7 13000 4000 
n 0.89 0.68 13000 4500 
n 0.44 0.28 13000 5000 
n 0.46 0.73 13000 5500 
n 0.67 0.51 13000 6000 
n 0.51 0.8 13000 6500 
n 0.65 0.74 13000 7000 
n 0.31 0.7 13000 7500 
n 0.28 0.65 13000 8000 
n 0.51 0.84 13000 8500 
n 0.48 0.88 13000 9000 
n 0.22 0.63 13000 9500 
n 0.49 0.87 13000 10000 
n 0.72 0.65 13000 10500 
n 0.25 0.87 13000 11000 
n 0.17 0.18 13000 11500 
n 0.41 0.28 13000 12000 
n 0.79 0.55 13000 12500 
n 0.79 0.69 13000 13000 
n 0.39 0.14 13000 13500 
n 0.86 0.49 13000 14000 
n 0.52 0.52 13000 14500 
n 0.63 0.49 13000 15000 
n 0.79 0.37 13000 15500 
n 0.86 0.77 13000 16000 
n 0.44 0.44 16000 4000 
n 0.5 0.88 16000 4500 
n 0.68 0.84 16000 5000 
n 0.15 0.45 16000 5500 
n 0.66 0.13 16000 6000 
n 0.49 0.28 16000 6500 
n 0.65 0.9 16000 7000 
n 0.51 0.55 16000 7500 
n 0.51 0.32 16000 8000 
n 0.51 0.89 16000 8500 
n 0.26 0.65 16000 9000 
n 0.81 0.85 16000 9500 
n 0.59 0.28 16000 10000 
n 0.45 0.66 16000 10500 
n 0.3 0.34 16000 11000 
n 0.6 0.85 16000 11500 
n 0.45 0.3 16000 12000 
n 0.14 0.63 16000 12500 
n 0.36 0.13 16000 13000 
n 0.64 0.41 16000 13500 
n 0.78 0.58 16000 14000 
n 0.61 0.76 16000 14500 
n 0.44 0.21 16000 15000 
n 0.66 0.34 16000 15500 
n 0.49 0.77 16000 16000 
n 0.65 0.15 4500 4000 
n 0.8 0.6 5000 4000 
n 0.1 0.28 5500 4000 
n 0.11 0.52 6000 4000 
n 0.46 0.56 6500 4000 
n 0.44 0.62 4500 7000 
n 0.43 0.22 5000 7000 
n 0.84 0.82 5500 7000 
n 0.25 0.48 6000 7000 
n 0.79 0.46 6500 7000 
n 0.77 0.83 4500 10000 
n 0.75 0.16 5000 10000 
n 0.67 0.58 5500 10000 
n 0.88 0.41 6000 10000 
n 0.57 0.17 6500 10000 
n 0.74 0.17 4500 13000 
n 0.6 0.31 5000 13000 
n 0.51 0.14 5500 13000 
n 0.27 0.52 6000 13000 
n 0.37 0.73 6500 13000 
n 0.17 0.57 4500 16000 
n 0.8 0.82 5000 16000 
n 0.84 0.15 5500 16000 
n 0.39 0.18 6000 16000 
n 0.54 0.36 6500 16000 
n 0.46 0.6 7500 4000 
n 0.2 0.62 8000 4000 
n 0.25 0.38 8500 4000 
n 0.68 0.17 9000 4000 
n 0.24 0.34 9500 4000 
n 0.84 0.39 7500 7000 
n 0.39 0.89 8000 7000 
n 0.44 0.31 8500 7000 
n 0.12 0.78 9000 7000 
n 0.76 0.26 9500 7000 
n 0.74 0.65 7500 10000 
n 0.25 0.18 8000 10000 
n 0.66 0.74 8500 10000 
n 0.51 0.7 9000 10000 
n 0.53 0.39 9500 10000 
n 0.27 0.55 7500 13000 
n 0.59 0.61 8000 13000 
n 0.25 0.7 8500 13000 
n 0.41 0.71 9000 13000 
n 0.78 0.6 9500 13000 
n 0.12 0.87 7500 16000 
n 0.26 0.69 8000 16000 
n 0.38 0.48 8500 16000 
n 0.75 0.28 9000 16000 
n 0.36 0.48 9500 16000 
n 0.41 0.35 10500 4000 
n 0.81 0.49 11000 4000 
n 0.22 0.78 11500 4000 
n 0.74 0.62 12000 4000 
n 0.18 0.87 12500 4000 
n 0.55 0.73 10500 7000 
n 0.54 0.42 11000 7000 
n 0.66 0.75 11500 7000 
n 0.72 0.32 12000 7000 
n 0.47 0.35 12500 7000 
n 0.54 0.9 10500 10000 
n 0.17 0.55 11000 10000 
n 0.1 0.3 11500 10000 
n 0.6 0.56 12000 10000 
n 0.39 0.36 12500 10000 
n 0.5 0.74 10500 13000 
n 0.8 0.15 11000 13000 
n 0.73 0.83 11500 13000 
n 0.53 0.54 12000 13000 
n 0.2 0.78 12500 13000 
n 0.84 0.58 10500 16000 
n 0.41 0.56 11000 16000 
n 0.5 0.41 11500 16000 
n 0.88 0.56 12000 16000 
n 0.21 0.5 12500 16000 
n 0.48 0.39 13500 4000 
n 0.69 0.67 14000 4000 
n 0.2 0.84 14500 4000 
n 0.63 0.86 15000 4000 
n 0.69 0.8 15500 4000 
n 0.64 0.8 13500 7000 
n 0.77 0.21 14000 7000 
n 0.87 0.72 14500 7000 
n 0.12 0.64 15000 7000 
n 0.82 0.18 15500 7000 
n 0.58 0.57 13500 10000 
n 0.11 0.33 14000 10000 
n 0.59 0.23 14500 10000 
n 0.8 0.21 15000 10000 
n 0.69 0.82 15500 10000 
n 0.31 0.79 13500 13000 
n 0.75 0.5 14000 13000 
n 0.4 0.19 14500 13000 
n 0.88 0.26 15000 13000 
n 0.41 0.53 15500 13000 
n 0.15 0.53 13500 16000 
n 0.27 0.48 14000 16000 
n 0.63 0.38 14500 16000 
n 0.63 0.19 15000 16000 
n 0.68 0.57 15500 16000 
