t 225 20 2
n 0.84 0.3 155 151 
n 0.16 0.21 376 165 
n 0.5 0.52 184 151 
n 0.1 0.46 205 151 
n 0.85 0.74 205 172 
n 0.7 0.74 226 172 
n 0.53 0.71 226 186 
n 0.76 0.64 226 207 
n 0.4 0.58 226 236 
n 0.61 0.53 226 264 
n 0.43 0.61 226 293 
n 0.65 0.7 226 314 
n 0.88 0.72 226 336 
n 0.63 0.61 205 336 
n 0.41 0.5 191 336 
n 0.32 0.26 191 328 
n 0.14 0.39 177 328 
n 0.12 0.73 177 300 
n 0.78 0.35 155 300 
n 0.89 0.18 155 328 
n 0.62 0.39 155 357 
n 0.14 0.28 184 357 
n 0.65 0.75 219 357 
n 0.34 0.72 241 357 
n 0.4 0.56 269 357 
n 0.64 0.82 290 357 
n 0.56 0.18 387 136 
n 0.44 0.59 319 357 
n 0.27 0.13 319 336 
n 0.37 0.28 319 328 
n 0.33 0.38 319 300 
n 0.86 0.36 298 300 
n 0.67 0.23 290 328 
n 0.17 0.18 290 336 
n 0.15 0.31 298 328 
n 0.59 0.42 255 336 
n 0.71 0.85 255 314 
n 0.22 0.55 255 293 
n 0.5 0.21 255 272 
n 0.52 0.53 255 243 
n 0.39 0.55 255 222 
n 0.12 0.11 255 193 
n 0.83 0.26 255 172 
n 0.85 0.43 276 172 
n 0.26 0.87 296 151 
n 0.64 0.18 276 151 
n 0.71 0.14 376 151 
n 0.51 0.17 309 151 
n 0.54 0.35 355 165 
n 0.63 0.47 338 175 
n 0.82 0.2 355 175 
n 0.36 0.13 338 200 
n 0.84 0.18 338 222 
n 0.24 0.43 355 222 
n 0.88 0.82 355 200 
n 0.31 0.22 362 200 
n 0.7 0.43 362 186 
n 0.49 0.38 383 186 
n 0.88 0.47 383 179 
n 0.4 0.69 404 179 
n 0.55 0.55 404 186 
n 0.32 0.6 419 186 
n 0.59 0.63 419 200 
n 0.14 0.53 433 200 
n 0.73 0.42 433 222 
n 0.54 0.39 419 222 
n 0.75 0.31 419 236 
n 0.83 0.64 397 236 
n 0.74 0.19 397 243 
n 0.76 0.39 376 243 
n 0.41 0.57 376 257 
n 0.39 0.4 369 257 
n 0.27 0.72 369 264 
n 0.39 0.19 347 264 
n 0.25 0.45 347 279 
n 0.13 0.7 336 279 
n 0.89 0.68 336 328 
n 0.44 0.28 347 328 
n 0.46 0.73 347 343 
n 0.67 0.51 369 343 
n 0.51 0.8 369 354 
n 0.65 0.74 419 354 
n 0.31 0.7 419 343 
n 0.28 0.65 433 343 
n 0.51 0.84 433 357 
n 0.48 0.88 447 357 
n 0.22 0.63 447 321 
n 0.49 0.87 447 293 
n 0.72 0.65 433 293 
n 0.25 0.87 433 314 
n 0.17 0.18 419 314 
n 0.41 0.28 419 321 
n 0.79 0.55 397 321 
n 0.79 0.69 397 334 
n 0.39 0.14 376 334 
n 0.86 0.49 376 321 
n 0.52 0.52 362 321 
n 0.63 0.49 362 300 
n 0.79 0.37 376 300 
n 0.86 0.77 376 286 
n 0.44 0.44 397 286 
n 0.5 0.88 397 272 
n 0.68 0.84 419 272 
n 0.15 0.45 419 264 
n 0.66 0.13 440 264 
n 0.49 0.28 440 250 
n 0.65 0.9 454 250 
n 0.51 0.55 454 243 
n 0.51 0.32 461 243 
n 0.51 0.89 461 215 
n 0.26 0.65 461 193 
n 0.81 0.85 447 193 
n 0.59 0.28 447 179 
n 0.45 0.66 440 179 
n 0.3 0.34 440 168 
n 0.6 0.85 420 168 
n 0.45 0.3 420 151 
n 0.14 0.63 440 151 
n 0.36 0.13 454 151 
n 0.64 0.41 476 151 
n 0.78 0.58 476 172 
n 0.61 0.76 497 172 
n 0.44 0.21 497 193 
n 0.66 0.34 497 215 
n 0.49 0.77 497 243 
n 0.65 0.15 497 272 
n 0.8 0.6 497 293 
n 0.1 0.28 497 317 
n 0.11 0.52 497 336 
n 0.46 0.56 470 336 
n 0.44 0.62 470 357 
n 0.43 0.22 497 357 
n 0.84 0.82 347 151 
n 0.25 0.48 540 357 
n 0.79 0.46 561 357 
n 0.77 0.83 589 357 
n 0.75 0.16 589 343 
n 0.67 0.58 604 343 
n 0.88 0.41 611 343 
n 0.57 0.17 611 336 
n 0.74 0.17 611 321 
n 0.6 0.31 625 321 
n 0.51 0.14 625 279 
n 0.27 0.52 611 279 
n 0.37 0.73 611 257 
n 0.17 0.57 589 257 
n 0.8 0.82 589 250 
n 0.84 0.15 575 250 
n 0.39 0.18 561 250 
n 0.54 0.36 543 250 
n 0.46 0.6 543 264 
n 0.2 0.62 561 264 
n 0.25 0.38 575 264 
n 0.68 0.17 575 272 
n 0.24 0.34 582 272 
n 0.84 0.39 582 286 
n 0.39 0.89 596 286 
n 0.44 0.31 561 336 
n 0.12 0.78 596 314 
n 0.76 0.26 582 314 
n 0.74 0.65 582 321 
n 0.25 0.18 575 321 
n 0.66 0.74 575 336 
n 0.51 0.7 525 336 
n 0.53 0.39 525 314 
n 0.27 0.55 525 300 
n 0.59 0.61 525 282 
n 0.25 0.7 525 233 
n 0.41 0.71 525 215 
n 0.78 0.6 525 193 
n 0.12 0.87 525 172 
n 0.26 0.69 547 172 
n 0.38 0.48 547 151 
n 0.75 0.28 568 151 
n 0.36 0.48 476 161 
n 0.41 0.35 604 151 
n 0.81 0.49 625 151 
n 0.22 0.78 625 136 
n 0.74 0.62 596 136 
n 0.18 0.87 575 136 
n 0.55 0.73 554 136 
n 0.54 0.42 532 136 
n 0.66 0.75 575 357 
n 0.72 0.32 490 136 
n 0.47 0.35 468 136 
n 0.54 0.9 447 136 
n 0.17 0.55 426 136 
n 0.1 0.3 404 136 
n 0.6 0.56 370 136 
n 0.39 0.36 362 151 
n 0.5 0.74 340 136 
n 0.8 0.15 326 136 
n 0.73 0.83 302 136 
n 0.53 0.54 276 136 
n 0.2 0.78 255 136 
n 0.84 0.58 316 136 
n 0.41 0.56 212 136 
n 0.5 0.41 191 136 
n 0.88 0.56 339 151 
n 0.21 0.5 155 136 
n 0.48 0.39 625 300 
