t 159 20 2
n 0.84 0.3 3300 2200 
n 0.16 0.21 3500 2900 
n 0.5 0.52 3300 2900 
n 0.1 0.46 3500 3100 
n 0.85 0.74 3500 3300 
n 0.7 0.74 3300 3500 
n 0.53 0.71 3500 3700 
n 0.76 0.64 3500 3900 
n 0.4 0.58 3500 4000 
n 0.61 0.53 3500 4100 
n 0.43 0.61 3500 4300 
n 0.65 0.7 3300 4300 
n 0.88 0.72 3500 4500 
n 0.63 0.61 3500 4700 
n 0.41 0.5 3500 4800 
n 0.32 0.26 3300 4900 
n 0.14 0.39 3500 5000 
n 0.12 0.73 3800 5500 
n 0.78 0.35 3900 5700 
n 0.89 0.18 3800 5800 
n 0.62 0.39 3700 5800 
n 0.14 0.28 3500 5600 
n 0.65 0.75 3500 5700 
n 0.34 0.72 3300 5900 
n 0.4 0.56 3500 6100 
n 0.64 0.82 3300 6500 
n 0.56 0.18 3500 6400 
n 0.44 0.59 3800 6600 
n 0.27 0.13 4500 6500 
n 0.37 0.28 4700 6100 
n 0.33 0.38 4300 5700 
n 0.86 0.36 4500 5400 
n 0.67 0.23 5100 5300 
n 0.17 0.18 5100 5000 
n 0.15 0.31 5000 5000 
n 0.59 0.42 5100 4700 
n 0.71 0.85 5000 4700 
n 0.22 0.55 5200 4500 
n 0.5 0.21 5500 4400 
n 0.52 0.53 5600 4400 
n 0.39 0.55 5500 4100 
n 0.12 0.11 5700 3900 
n 0.83 0.26 5900 4100 
n 0.85 0.43 6100 3900 
n 0.26 0.87 6300 4100 
n 0.64 0.18 6500 4100 
n 0.71 0.14 6700 4100 
n 0.51 0.17 6900 4100 
n 0.54 0.35 7000 4500 
n 0.63 0.47 7300 4500 
n 0.82 0.2 7300 4700 
n 0.36 0.13 7400 5100 
n 0.84 0.18 7700 5500 
n 0.24 0.43 7800 5700 
n 0.88 0.82 7300 6200 
n 0.31 0.22 7300 6500 
n 0.7 0.43 7600 6500 
n 0.49 0.38 7700 6600 
n 0.88 0.47 8100 6600 
n 0.4 0.69 8500 6300 
n 0.55 0.55 8500 6000 
n 0.32 0.6 8500 5700 
n 0.59 0.63 8200 5700 
n 0.14 0.53 8500 5300 
n 0.73 0.42 8500 5200 
n 0.54 0.39 8500 5100 
n 0.75 0.31 8500 5000 
n 0.83 0.64 8500 4900 
n 0.74 0.19 8500 4800 
n 0.76 0.39 8500 4700 
n 0.41 0.57 8500 4600 
n 0.39 0.4 8500 4500 
n 0.27 0.72 8200 4600 
n 0.39 0.19 7800 4600 
n 0.25 0.45 7700 4300 
n 0.13 0.7 8000 4300 
n 0.89 0.68 8100 4000 
n 0.44 0.28 8500 4200 
n 0.46 0.73 8500 4100 
n 0.67 0.51 8500 4000 
n 0.51 0.8 8500 3900 
n 0.65 0.74 8500 3800 
n 0.31 0.7 8500 3700 
n 0.28 0.65 8500 3600 
n 0.51 0.84 8500 3500 
n 0.48 0.88 8500 3400 
n 0.22 0.63 8200 3200 
n 0.49 0.87 8000 3200 
n 0.72 0.65 7800 3400 
n 0.25 0.87 7600 3400 
n 0.17 0.18 7400 3400 
n 0.41 0.28 7300 3000 
n 0.79 0.55 7300 2800 
n 0.79 0.69 7700 3200 
n 0.39 0.14 8000 2900 
n 0.86 0.49 8100 3000 
n 0.52 0.52 8500 3100 
n 0.63 0.49 8500 3000 
n 0.79 0.37 8500 2900 
n 0.86 0.77 8500 2800 
n 0.44 0.44 8500 2700 
n 0.5 0.88 8500 2600 
n 0.68 0.84 8500 2500 
n 0.15 0.45 8500 2400 
n 0.66 0.13 8500 2300 
n 0.49 0.28 8200 2100 
n 0.65 0.9 7800 2100 
n 0.51 0.55 6900 2200 
n 0.51 0.32 6700 2300 
n 0.51 0.89 6500 2300 
n 0.26 0.65 6300 2300 
n 0.81 0.85 6100 2300 
n 0.59 0.28 5900 2300 
n 0.45 0.66 5900 2900 
n 0.3 0.34 6100 2900 
n 0.6 0.85 6300 2900 
n 0.45 0.3 6500 2900 
n 0.14 0.63 6700 2900 
n 0.36 0.13 6700 3500 
n 0.64 0.41 6500 3500 
n 0.78 0.58 6300 3500 
n 0.61 0.76 6100 3500 
n 0.44 0.21 5900 3500 
n 0.66 0.34 5300 2800 
n 0.49 0.77 4700 2100 
n 0.65 0.15 4300 2600 
n 0.8 0.6 4700 2900 
n 0.1 0.28 5000 3100 
n 0.11 0.52 5100 2900 
n 0.46 0.56 5300 3100 
n 0.44 0.62 5000 3400 
n 0.43 0.22 5200 3700 
n 0.84 0.82 5000 3900 
n 0.25 0.48 5100 3900 
n 0.79 0.46 5100 4200 
n 0.77 0.83 5000 4200 
n 0.75 0.16 4700 4400 
n 0.67 0.58 4700 4700 
n 0.88 0.41 4300 4400 
n 0.57 0.17 4300 4600 
n 0.74 0.17 4100 4400 
n 0.6 0.31 3900 4600 
n 0.51 0.14 3700 4400 
n 0.27 0.52 3700 4300 
n 0.37 0.73 3800 4300 
n 0.17 0.57 3700 4100 
n 0.8 0.82 3700 4000 
n 0.84 0.15 3700 3900 
n 0.39 0.18 3800 4000 
n 0.54 0.36 3900 3800 
n 0.46 0.6 3700 3700 
n 0.2 0.62 3500 3600 
n 0.25 0.38 3500 3500 
n 0.68 0.17 3700 3500 
n 0.24 0.34 3800 3500 
n 0.84 0.39 3700 3200 
n 0.39 0.89 3800 3200 
n 0.44 0.31 3900 3000 
n 0.12 0.78 3500 2400 
